param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000024,0.000000,0.000000,0.000283
q_ind_1_pop_0,0.070640,0.070595,0.058842,0.082556
q_ind_2_pop_0,0.000186,0.000000,0.000000,0.002515
q_ind_3_pop_0,0.000016,0.000000,0.000000,0.000159
q_ind_4_pop_0,0.000022,0.000000,0.000000,0.000251
q_ind_5_pop_0,0.000015,0.000000,0.000000,0.000170
q_ind_6_pop_0,0.000020,0.000000,0.000000,0.000230
q_ind_7_pop_0,0.000033,0.000000,0.000000,0.000362
q_ind_8_pop_0,0.000014,0.000000,0.000000,0.000163
q_ind_9_pop_0,0.000036,0.000000,0.000000,0.000477
q_ind_10_pop_0,0.000022,0.000000,0.000000,0.000237
q_ind_11_pop_0,0.043414,0.043317,0.033344,0.053968
q_ind_12_pop_0,0.000158,0.000000,0.000000,0.002111
q_ind_13_pop_0,0.000056,0.000000,0.000000,0.000591
q_ind_14_pop_0,0.015248,0.015184,0.006609,0.024014
q_ind_15_pop_0,0.000028,0.000000,0.000000,0.000333
q_ind_16_pop_0,0.000022,0.000000,0.000000,0.000241
q_ind_17_pop_0,0.014388,0.014646,0.000001,0.023709
q_ind_18_pop_0,0.000019,0.000000,0.000000,0.000228
q_ind_19_pop_0,0.000020,0.000000,0.000000,0.000214
q_ind_20_pop_0,0.000027,0.000000,0.000000,0.000298
q_ind_21_pop_0,0.000030,0.000000,0.000000,0.000309
q_ind_22_pop_0,0.040379,0.040245,0.029783,0.051499
q_ind_23_pop_0,0.000018,0.000000,0.000000,0.000207
q_ind_24_pop_0,0.000012,0.000000,0.000000,0.000131
q_ind_25_pop_0,0.000015,0.000000,0.000000,0.000161
q_ind_26_pop_0,0.000015,0.000000,0.000000,0.000167
q_ind_27_pop_0,0.000013,0.000000,0.000000,0.000147
q_ind_28_pop_0,0.000016,0.000000,0.000000,0.000186
q_ind_29_pop_0,0.916452,0.916548,0.903430,0.929074
q_ind_30_pop_0,0.956127,0.956232,0.943829,0.967536
q_ind_31_pop_0,0.897511,0.897642,0.881947,0.912822
q_ind_32_pop_0,0.965703,0.965810,0.954547,0.976186
q_ind_33_pop_0,0.998940,0.999996,0.990529,1.000000
q_ind_34_pop_0,0.995244,0.998800,0.981400,1.000000
q_ind_35_pop_0,0.950753,0.950806,0.938493,0.962651
q_ind_36_pop_0,0.981745,0.981846,0.971214,0.991568
q_ind_37_pop_0,0.959373,0.959424,0.947819,0.970563
q_ind_38_pop_0,0.952833,0.952962,0.940575,0.964160
q_ind_39_pop_0,0.964010,0.964179,0.951395,0.976105
q_ind_40_pop_0,0.950612,0.950836,0.936702,0.963645
q_ind_41_pop_0,0.943964,0.944055,0.931535,0.955987
q_ind_42_pop_0,0.971987,0.972043,0.960889,0.982631
