param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2058.93,1.000
q_ind_1_pop_0,1691.64,1.000
q_ind_2_pop_0,506.14,1.001
q_ind_3_pop_0,2769.07,1.000
q_ind_4_pop_0,1543.47,1.000
q_ind_5_pop_0,2410.51,1.003
q_ind_6_pop_0,1557.35,1.001
q_ind_7_pop_0,1011.51,1.000
q_ind_8_pop_0,2796.65,1.000
q_ind_9_pop_0,1450.13,1.001
q_ind_10_pop_0,876.26,1.000
q_ind_11_pop_0,1344.24,1.000
q_ind_12_pop_0,235.88,1.008
q_ind_13_pop_0,137.50,1.007
q_ind_14_pop_0,90.14,1.085
q_ind_15_pop_0,1342.90,1.001
q_ind_16_pop_0,1854.13,1.001
q_ind_17_pop_0,29.76,1.032
q_ind_18_pop_0,2313.50,1.000
q_ind_19_pop_0,1742.69,1.000
q_ind_20_pop_0,1742.17,1.000
q_ind_21_pop_0,1560.90,1.001
q_ind_22_pop_0,1266.73,1.003
q_ind_23_pop_0,2082.97,1.000
q_ind_24_pop_0,3451.83,1.000
q_ind_25_pop_0,3169.55,1.001
q_ind_26_pop_0,3386.85,1.000
q_ind_27_pop_0,3110.59,1.001
q_ind_28_pop_0,3288.43,1.001
q_ind_29_pop_0,570.71,1.001
q_ind_30_pop_0,395.09,1.001
q_ind_31_pop_0,1704.71,1.001
q_ind_32_pop_0,244.68,1.019
q_ind_33_pop_0,115.82,1.001
q_ind_34_pop_0,546.43,1.000
q_ind_35_pop_0,638.48,1.001
q_ind_36_pop_0,670.94,1.002
q_ind_37_pop_0,853.51,1.003
q_ind_38_pop_0,168.60,1.001
q_ind_39_pop_0,889.47,1.001
q_ind_40_pop_0,739.68,1.006
q_ind_41_pop_0,852.36,1.000
q_ind_42_pop_0,1060.24,1.004
q_ind_43_pop_0,1180.34,1.001
q_ind_44_pop_0,836.74,1.001
q_ind_45_pop_0,1694.67,1.001
q_ind_46_pop_0,1887.05,1.000
q_ind_47_pop_0,1020.92,1.000
q_ind_48_pop_0,1270.17,1.004
q_ind_49_pop_0,1508.41,1.000
q_ind_50_pop_0,1660.86,1.001
q_ind_51_pop_0,694.93,1.002
q_ind_52_pop_0,529.38,1.003
q_ind_53_pop_0,688.29,1.003
q_ind_54_pop_0,1301.07,1.001
q_ind_55_pop_0,1769.31,1.000
q_ind_56_pop_0,123.08,1.001
q_ind_57_pop_0,500.47,1.000
q_ind_58_pop_0,1139.06,1.000
q_ind_59_pop_0,1324.62,1.003
q_ind_60_pop_0,2401.96,1.001
q_ind_61_pop_0,2181.85,1.000
q_ind_62_pop_0,2307.50,1.000
q_ind_63_pop_0,2182.15,1.003
q_ind_64_pop_0,1098.03,1.000
q_ind_65_pop_0,1411.48,1.000
q_ind_66_pop_0,290.34,1.005
q_ind_67_pop_0,231.02,1.009
q_ind_68_pop_0,1018.52,1.000
q_ind_69_pop_0,225.41,1.004
q_ind_70_pop_0,579.14,1.001
q_ind_71_pop_0,974.06,1.003
q_ind_72_pop_0,105.80,1.012
q_ind_73_pop_0,570.46,1.001
q_ind_74_pop_0,725.18,1.000
q_ind_75_pop_0,1863.26,1.000
q_ind_76_pop_0,940.91,1.001
q_ind_77_pop_0,888.20,1.000
q_ind_78_pop_0,1551.95,1.000
q_ind_79_pop_0,1358.53,1.000
q_ind_80_pop_0,4271.92,1.000
q_ind_81_pop_0,4138.79,1.000
q_ind_82_pop_0,4052.78,1.000
q_ind_83_pop_0,3853.83,1.000
q_ind_84_pop_0,4626.49,1.001
q_ind_85_pop_0,3397.55,1.001
q_ind_86_pop_0,4119.59,1.000
q_ind_87_pop_0,3098.68,1.001
q_ind_88_pop_0,2607.80,1.000
q_ind_0_pop_1,563.91,1.002
q_ind_1_pop_1,1205.91,1.001
q_ind_2_pop_1,436.86,1.002
q_ind_3_pop_1,313.51,1.005
q_ind_4_pop_1,529.21,1.008
q_ind_5_pop_1,446.58,1.000
q_ind_6_pop_1,525.36,1.001
q_ind_7_pop_1,598.11,1.007
q_ind_8_pop_1,727.10,1.002
q_ind_9_pop_1,387.39,1.000
q_ind_10_pop_1,45.54,1.069
q_ind_11_pop_1,833.50,1.003
q_ind_12_pop_1,427.57,1.001
q_ind_13_pop_1,871.72,1.003
q_ind_14_pop_1,420.04,1.008
q_ind_15_pop_1,2161.04,1.001
q_ind_16_pop_1,1413.40,1.000
q_ind_17_pop_1,448.61,1.004
q_ind_18_pop_1,2710.78,1.000
q_ind_19_pop_1,2614.28,1.000
q_ind_20_pop_1,1396.92,1.000
q_ind_21_pop_1,119.80,1.006
q_ind_22_pop_1,1175.64,1.003
q_ind_23_pop_1,2123.18,1.000
q_ind_24_pop_1,2658.84,1.000
q_ind_25_pop_1,3006.94,1.000
q_ind_26_pop_1,2753.19,1.001
q_ind_27_pop_1,3572.50,1.000
q_ind_28_pop_1,2748.03,1.000
q_ind_29_pop_1,60.79,1.000
q_ind_30_pop_1,62.76,1.007
q_ind_31_pop_1,163.42,1.004
q_ind_32_pop_1,68.01,1.029
q_ind_33_pop_1,510.09,1.000
q_ind_34_pop_1,1286.63,1.002
q_ind_35_pop_1,69.77,1.007
q_ind_36_pop_1,905.25,1.004
q_ind_37_pop_1,78.91,1.001
q_ind_38_pop_1,52.12,1.000
q_ind_39_pop_1,289.98,1.002
q_ind_40_pop_1,191.92,1.010
q_ind_41_pop_1,68.37,1.010
q_ind_42_pop_1,197.92,1.002
q_ind_43_pop_1,271.27,1.007
q_ind_44_pop_1,437.44,1.003
q_ind_45_pop_1,424.24,1.000
q_ind_46_pop_1,1221.25,1.001
q_ind_47_pop_1,1081.90,1.000
q_ind_48_pop_1,1159.65,1.000
q_ind_49_pop_1,795.82,1.002
q_ind_50_pop_1,1557.88,1.000
q_ind_51_pop_1,174.54,1.006
q_ind_52_pop_1,1371.73,1.004
q_ind_53_pop_1,557.80,1.002
q_ind_54_pop_1,1536.05,1.001
q_ind_55_pop_1,3183.20,1.001
q_ind_56_pop_1,573.31,1.015
q_ind_57_pop_1,685.48,1.001
q_ind_58_pop_1,969.12,1.002
q_ind_59_pop_1,1121.70,1.006
q_ind_60_pop_1,2416.83,1.000
q_ind_61_pop_1,2703.95,1.001
q_ind_62_pop_1,2654.96,1.000
q_ind_63_pop_1,2243.83,1.000
q_ind_64_pop_1,1749.03,1.001
q_ind_65_pop_1,2261.46,1.001
q_ind_66_pop_1,2046.70,1.000
q_ind_67_pop_1,1584.74,1.001
q_ind_68_pop_1,2285.97,1.001
q_ind_69_pop_1,629.91,1.004
q_ind_70_pop_1,45.01,1.048
q_ind_71_pop_1,672.63,1.007
q_ind_72_pop_1,39.97,1.096
q_ind_73_pop_1,516.79,1.004
q_ind_74_pop_1,881.92,1.010
q_ind_75_pop_1,1067.40,1.006
q_ind_76_pop_1,130.18,1.012
q_ind_77_pop_1,71.95,1.040
q_ind_78_pop_1,258.98,1.014
q_ind_79_pop_1,346.07,1.004
q_ind_80_pop_1,3109.27,1.000
q_ind_81_pop_1,3725.96,1.001
q_ind_82_pop_1,4768.47,1.000
q_ind_83_pop_1,3390.87,1.000
q_ind_84_pop_1,4465.17,1.000
q_ind_85_pop_1,3478.37,1.000
q_ind_86_pop_1,3403.25,1.000
q_ind_87_pop_1,3419.69,1.000
q_ind_88_pop_1,3587.65,1.000
q_ind_0_pop_2,2169.74,1.000
q_ind_1_pop_2,2167.41,1.001
q_ind_2_pop_2,2017.77,1.000
q_ind_3_pop_2,2830.68,1.000
q_ind_4_pop_2,3005.60,1.001
q_ind_5_pop_2,2882.73,1.000
q_ind_6_pop_2,3265.16,1.000
