param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_64_pop_1,1254.99,1.000
q_ind_65_pop_1,1570.08,1.001
q_ind_66_pop_1,224.04,1.005
q_ind_67_pop_1,291.64,1.001
q_ind_68_pop_1,942.68,1.002
q_ind_69_pop_1,738.43,1.006
q_ind_70_pop_1,316.41,1.003
q_ind_71_pop_1,814.39,1.000
q_ind_72_pop_1,56.61,1.005
q_ind_73_pop_1,531.02,1.000
q_ind_74_pop_1,1155.25,1.001
q_ind_75_pop_1,830.51,1.002
q_ind_76_pop_1,55.72,1.017
q_ind_77_pop_1,119.25,1.008
q_ind_78_pop_1,238.58,1.003
q_ind_79_pop_1,1357.95,1.000
q_ind_80_pop_1,4245.66,1.000
q_ind_81_pop_1,3688.73,1.000
q_ind_82_pop_1,4107.98,1.001
q_ind_83_pop_1,3155.31,1.000
q_ind_84_pop_1,4268.81,1.001
q_ind_85_pop_1,3795.31,1.001
q_ind_86_pop_1,3387.49,1.000
q_ind_87_pop_1,2996.38,1.000
q_ind_88_pop_1,3260.39,1.001
q_ind_0_pop_2,1460.07,1.000
q_ind_1_pop_2,1973.35,1.000
q_ind_2_pop_2,239.40,1.004
q_ind_3_pop_2,2115.84,1.001
q_ind_4_pop_2,1634.15,1.001
q_ind_5_pop_2,2004.32,1.001
q_ind_6_pop_2,2228.87,1.000
q_ind_7_pop_2,1148.13,1.000
q_ind_8_pop_2,2992.34,1.000
q_ind_9_pop_2,857.66,1.002
q_ind_10_pop_2,1569.09,1.002
q_ind_11_pop_2,1463.57,1.001
q_ind_12_pop_2,171.83,1.005
q_ind_13_pop_2,980.41,1.003
q_ind_14_pop_2,840.25,1.002
q_ind_15_pop_2,1445.57,1.001
q_ind_16_pop_2,2250.56,1.000
q_ind_17_pop_2,123.86,1.004
q_ind_18_pop_2,2420.33,1.001
q_ind_19_pop_2,1925.84,1.000
q_ind_20_pop_2,2033.30,1.001
q_ind_21_pop_2,1476.07,1.001
q_ind_22_pop_2,210.82,1.005
q_ind_23_pop_2,3436.51,1.000
q_ind_24_pop_2,3155.22,1.000
q_ind_25_pop_2,2946.77,1.001
q_ind_26_pop_2,3069.78,1.000
q_ind_27_pop_2,3778.51,1.000
q_ind_28_pop_2,3400.64,1.001
q_ind_29_pop_2,276.75,1.002
q_ind_30_pop_2,268.85,1.004
q_ind_31_pop_2,492.87,1.009
q_ind_32_pop_2,172.46,1.005
q_ind_33_pop_2,448.23,1.005
q_ind_34_pop_2,295.41,1.007
q_ind_35_pop_2,153.40,1.006
q_ind_36_pop_2,430.61,1.005
q_ind_37_pop_2,390.64,1.005
q_ind_38_pop_2,376.36,1.005
q_ind_39_pop_2,480.19,1.004
q_ind_40_pop_2,281.94,1.006
q_ind_41_pop_2,181.63,1.006
q_ind_42_pop_2,203.22,1.006
q_ind_43_pop_2,178.77,1.010
q_ind_44_pop_2,411.89,1.005
q_ind_45_pop_2,378.53,1.006
q_ind_46_pop_2,2024.15,1.000
q_ind_47_pop_2,1409.89,1.001
q_ind_48_pop_2,1652.02,1.001
q_ind_49_pop_2,1546.81,1.000
q_ind_50_pop_2,1249.95,1.000
q_ind_51_pop_2,294.86,1.008
q_ind_52_pop_2,927.20,1.002
q_ind_53_pop_2,1002.69,1.000
q_ind_54_pop_2,150.81,1.017
q_ind_55_pop_2,184.68,1.011
q_ind_56_pop_2,161.09,1.009
q_ind_57_pop_2,217.36,1.012
