param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000026,0.000000,0.000000,0.000208
q_ind_1_pop_0,0.000031,0.000000,0.000000,0.000280
q_ind_2_pop_0,0.000047,0.000000,0.000000,0.000537
q_ind_3_pop_0,0.000018,0.000000,0.000000,0.000178
q_ind_4_pop_0,0.000017,0.000000,0.000000,0.000126
q_ind_5_pop_0,0.000015,0.000000,0.000000,0.000151
q_ind_6_pop_0,0.000019,0.000000,0.000000,0.000160
q_ind_7_pop_0,0.000017,0.000000,0.000000,0.000137
q_ind_8_pop_0,0.000029,0.000000,0.000000,0.000254
q_ind_9_pop_0,0.000012,0.000000,0.000000,0.000076
q_ind_10_pop_0,0.000013,0.000000,0.000000,0.000097
q_ind_11_pop_0,0.023141,0.023034,0.013444,0.033638
q_ind_12_pop_0,0.000027,0.000000,0.000000,0.000239
q_ind_13_pop_0,0.000020,0.000000,0.000000,0.000124
q_ind_14_pop_0,0.000031,0.000000,0.000000,0.000231
q_ind_15_pop_0,0.999983,1.000000,0.999875,1.000000
q_ind_16_pop_0,0.999986,1.000000,0.999890,1.000000
q_ind_17_pop_0,0.979672,0.979723,0.969048,0.990045
q_ind_18_pop_0,0.999990,1.000000,0.999921,1.000000
q_ind_19_pop_0,0.999990,1.000000,0.999927,1.000000
q_ind_20_pop_0,0.999982,1.000000,0.999862,1.000000
q_ind_21_pop_0,0.958791,0.958851,0.947608,0.970078
q_ind_22_pop_0,0.956960,0.957151,0.943060,0.970035
q_ind_23_pop_0,0.999984,1.000000,0.999859,1.000000
q_ind_24_pop_0,0.999988,1.000000,0.999908,1.000000
q_ind_25_pop_0,0.999993,1.000000,0.999948,1.000000
q_ind_26_pop_0,0.999993,1.000000,0.999944,1.000000
q_ind_27_pop_0,0.999994,1.000000,0.999947,1.000000
q_ind_28_pop_0,0.999990,1.000000,0.999930,1.000000
q_ind_29_pop_0,0.000020,0.000000,0.000000,0.000163
q_ind_30_pop_0,0.000017,0.000000,0.000000,0.000170
q_ind_31_pop_0,0.025745,0.025612,0.016342,0.035533
q_ind_32_pop_0,0.000007,0.000000,0.000000,0.000061
q_ind_33_pop_0,0.000008,0.000000,0.000000,0.000048
q_ind_34_pop_0,0.000020,0.000000,0.000000,0.000161
q_ind_35_pop_0,0.000022,0.000000,0.000000,0.000169
q_ind_36_pop_0,0.000009,0.000000,0.000000,0.000062
q_ind_37_pop_0,0.000011,0.000000,0.000000,0.000089
q_ind_38_pop_0,0.000008,0.000000,0.000000,0.000065
q_ind_39_pop_0,0.000011,0.000000,0.000000,0.000085
q_ind_40_pop_0,0.012700,0.013058,0.000000,0.023238
q_ind_41_pop_0,0.000020,0.000000,0.000000,0.000173
q_ind_42_pop_0,0.000007,0.000000,0.000000,0.000049
q_ind_43_pop_0,0.000012,0.000000,0.000000,0.000087
q_ind_44_pop_0,0.000010,0.000000,0.000000,0.000068
q_ind_45_pop_0,0.026175,0.026113,0.016409,0.036269
q_ind_46_pop_0,0.999990,1.000000,0.999930,1.000000
q_ind_47_pop_0,0.999981,1.000000,0.999859,1.000000
q_ind_48_pop_0,0.999987,1.000000,0.999911,1.000000
