param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1021.70,1.001
q_ind_1_pop_0,827.25,1.003
q_ind_2_pop_0,1011.44,1.001
q_ind_3_pop_0,1649.23,1.003
q_ind_4_pop_0,1642.46,1.002
q_ind_5_pop_0,1502.00,1.000
q_ind_6_pop_0,1239.28,1.001
q_ind_7_pop_0,1229.47,1.001
q_ind_8_pop_0,226.45,1.007
q_ind_9_pop_0,1683.27,1.000
q_ind_10_pop_0,1549.01,1.002
q_ind_11_pop_0,815.99,1.000
q_ind_12_pop_0,1320.05,1.003
q_ind_13_pop_0,967.13,1.000
q_ind_14_pop_0,810.10,1.001
q_ind_15_pop_0,1043.73,1.001
q_ind_16_pop_0,1897.69,1.001
q_ind_17_pop_0,650.07,1.001
q_ind_18_pop_0,2380.84,1.002
q_ind_19_pop_0,2190.01,1.002
q_ind_20_pop_0,1576.64,1.003
q_ind_21_pop_0,1125.95,1.000
q_ind_22_pop_0,936.95,1.007
q_ind_23_pop_0,1605.27,1.001
q_ind_24_pop_0,1833.83,1.000
q_ind_25_pop_0,3536.16,1.003
q_ind_26_pop_0,2540.45,1.001
q_ind_27_pop_0,3949.55,1.000
q_ind_28_pop_0,2274.10,1.000
q_ind_29_pop_0,834.67,1.002
q_ind_30_pop_0,1342.97,1.002
q_ind_31_pop_0,995.27,1.003
q_ind_32_pop_0,2624.90,1.001
q_ind_33_pop_0,2648.94,1.000
q_ind_34_pop_0,1249.69,1.001
q_ind_35_pop_0,1078.11,1.000
q_ind_36_pop_0,1991.19,1.000
q_ind_37_pop_0,1953.58,1.001
q_ind_38_pop_0,2194.61,1.000
q_ind_39_pop_0,2309.01,1.000
q_ind_40_pop_0,10.10,1.075
q_ind_41_pop_0,1679.31,1.002
q_ind_42_pop_0,3136.27,1.000
q_ind_43_pop_0,1656.76,1.002
q_ind_44_pop_0,2074.31,1.000
q_ind_45_pop_0,1096.52,1.001
q_ind_46_pop_0,2081.25,1.000
q_ind_47_pop_0,1489.49,1.001
q_ind_48_pop_0,1598.85,1.002
q_ind_49_pop_0,909.30,1.000
q_ind_50_pop_0,1939.97,1.000
q_ind_51_pop_0,1508.19,1.001
q_ind_52_pop_0,1353.90,1.000
q_ind_53_pop_0,1016.69,1.001
q_ind_54_pop_0,3472.85,1.001
q_ind_55_pop_0,3958.61,1.000
q_ind_56_pop_0,4605.67,1.001
q_ind_57_pop_0,3135.62,1.001
q_ind_58_pop_0,3066.47,1.000
q_ind_59_pop_0,41.34,1.000
q_ind_60_pop_0,4712.59,1.001
q_ind_61_pop_0,2823.18,1.000
q_ind_62_pop_0,4510.47,1.000
q_ind_63_pop_0,4283.29,1.000
q_ind_64_pop_0,2895.87,1.000
q_ind_65_pop_0,3560.72,1.001
q_ind_66_pop_0,3029.51,1.001
q_ind_67_pop_0,2483.54,1.000
q_ind_68_pop_0,2696.86,1.000
q_ind_69_pop_0,3952.77,1.002
q_ind_70_pop_0,3008.11,1.000
q_ind_71_pop_0,2881.53,1.001
q_ind_72_pop_0,2711.10,1.000
q_ind_73_pop_0,740.88,1.002
q_ind_74_pop_0,2450.18,1.001
q_ind_75_pop_0,3896.72,1.000
q_ind_76_pop_0,3457.83,1.000
q_ind_77_pop_0,2896.46,1.001
q_ind_78_pop_0,2950.48,1.000
q_ind_79_pop_0,39.60,1.069
q_ind_80_pop_0,2967.17,1.002
q_ind_81_pop_0,2686.42,1.001
q_ind_82_pop_0,5173.91,1.000
q_ind_83_pop_0,3994.54,1.000
q_ind_84_pop_0,3866.11,1.000
q_ind_85_pop_0,3439.05,1.000
q_ind_86_pop_0,3372.24,1.000
q_ind_87_pop_0,5308.95,1.001
q_ind_88_pop_0,3166.11,1.001
q_ind_0_pop_1,1021.70,1.001
q_ind_1_pop_1,827.25,1.003
q_ind_2_pop_1,1011.43,1.001
q_ind_3_pop_1,1649.23,1.003
q_ind_4_pop_1,1642.48,1.002
q_ind_5_pop_1,1502.00,1.000
q_ind_6_pop_1,1239.28,1.001
q_ind_7_pop_1,1229.47,1.001
q_ind_8_pop_1,226.45,1.007
q_ind_9_pop_1,1683.28,1.000
q_ind_10_pop_1,1549.01,1.002
q_ind_11_pop_1,815.99,1.000
q_ind_12_pop_1,1320.04,1.003
q_ind_13_pop_1,967.13,1.000
q_ind_14_pop_1,810.10,1.001
q_ind_15_pop_1,1043.73,1.001
q_ind_16_pop_1,1897.70,1.001
q_ind_17_pop_1,650.07,1.001
q_ind_18_pop_1,2380.83,1.002
q_ind_19_pop_1,2190.01,1.002
q_ind_20_pop_1,1576.64,1.003
q_ind_21_pop_1,1125.95,1.000
q_ind_22_pop_1,936.95,1.007
q_ind_23_pop_1,1605.26,1.001
q_ind_24_pop_1,1833.82,1.000
q_ind_25_pop_1,3536.22,1.003
q_ind_26_pop_1,2540.45,1.001
q_ind_27_pop_1,3949.55,1.000
q_ind_28_pop_1,2274.10,1.000
q_ind_29_pop_1,834.67,1.002
q_ind_30_pop_1,1342.97,1.002
q_ind_31_pop_1,995.27,1.003
q_ind_32_pop_1,2624.92,1.001
q_ind_33_pop_1,2648.94,1.000
q_ind_34_pop_1,1249.69,1.001
q_ind_35_pop_1,1078.11,1.000
q_ind_36_pop_1,1991.18,1.000
q_ind_37_pop_1,1953.57,1.001
q_ind_38_pop_1,2194.61,1.000
q_ind_39_pop_1,2309.00,1.000
q_ind_40_pop_1,10.10,1.075
q_ind_41_pop_1,1679.31,1.002
q_ind_42_pop_1,3136.27,1.000
q_ind_43_pop_1,1656.78,1.002
q_ind_44_pop_1,2074.33,1.000
q_ind_45_pop_1,1096.52,1.001
q_ind_46_pop_1,2081.24,1.000
q_ind_47_pop_1,1489.50,1.001
q_ind_48_pop_1,1598.86,1.002
q_ind_49_pop_1,909.30,1.000
q_ind_50_pop_1,1939.97,1.000
q_ind_51_pop_1,1508.19,1.001
q_ind_52_pop_1,1353.90,1.000
q_ind_53_pop_1,1016.69,1.001
q_ind_54_pop_1,3472.85,1.001
q_ind_55_pop_1,3958.65,1.000
q_ind_56_pop_1,4605.72,1.001
q_ind_57_pop_1,3135.65,1.001
q_ind_58_pop_1,3066.48,1.000
q_ind_59_pop_1,41.34,1.000
q_ind_60_pop_1,4712.51,1.001
q_ind_61_pop_1,2823.17,1.000
q_ind_62_pop_1,4510.43,1.000
q_ind_63_pop_1,4283.30,1.000
q_ind_64_pop_1,2895.89,1.000
q_ind_65_pop_1,3560.71,1.001
q_ind_66_pop_1,3029.51,1.001
q_ind_67_pop_1,2483.55,1.000
q_ind_68_pop_1,2696.83,1.000
q_ind_69_pop_1,3952.80,1.002
q_ind_70_pop_1,3008.13,1.000
q_ind_71_pop_1,2881.55,1.001
q_ind_72_pop_1,2711.07,1.000
q_ind_73_pop_1,740.88,1.002
q_ind_74_pop_1,2450.17,1.001
q_ind_75_pop_1,3896.70,1.000
q_ind_76_pop_1,3457.82,1.000
q_ind_77_pop_1,2896.47,1.001
q_ind_78_pop_1,2950.51,1.000
q_ind_79_pop_1,39.60,1.069
q_ind_80_pop_1,2967.12,1.002
q_ind_81_pop_1,2686.38,1.001
q_ind_82_pop_1,5173.85,1.000
q_ind_83_pop_1,3994.60,1.000
q_ind_84_pop_1,3866.09,1.000
q_ind_85_pop_1,3439.04,1.000
q_ind_86_pop_1,3372.24,1.000
q_ind_87_pop_1,5308.90,1.001
q_ind_88_pop_1,3166.08,1.001
