param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1801.46,1.000
q_ind_1_pop_0,2084.20,1.000
q_ind_2_pop_0,365.80,1.004
q_ind_3_pop_0,2719.00,1.000
q_ind_4_pop_0,1796.95,1.001
q_ind_5_pop_0,2485.20,1.000
q_ind_6_pop_0,2194.39,1.000
q_ind_7_pop_0,1283.11,1.001
q_ind_8_pop_0,2844.12,1.001
q_ind_9_pop_0,1015.23,1.000
q_ind_10_pop_0,1764.00,1.002
q_ind_11_pop_0,1478.21,1.000
q_ind_12_pop_0,381.19,1.001
q_ind_13_pop_0,429.68,1.003
q_ind_14_pop_0,688.02,1.002
q_ind_15_pop_0,1367.38,1.001
q_ind_16_pop_0,1572.75,1.001
q_ind_17_pop_0,364.16,1.008
q_ind_18_pop_0,2359.58,1.001
q_ind_19_pop_0,1695.47,1.001
q_ind_20_pop_0,1634.77,1.000
q_ind_21_pop_0,1622.51,1.001
q_ind_22_pop_0,1221.90,1.003
q_ind_23_pop_0,2417.46,1.001
q_ind_24_pop_0,3388.95,1.000
q_ind_25_pop_0,1982.37,1.000
q_ind_26_pop_0,2890.37,1.001
q_ind_27_pop_0,3160.48,1.001
q_ind_28_pop_0,2329.94,1.000
q_ind_29_pop_0,1937.57,1.000
q_ind_30_pop_0,1250.39,1.001
q_ind_31_pop_0,1345.18,1.000
q_ind_32_pop_0,1028.77,1.001
q_ind_33_pop_0,140.85,1.008
q_ind_34_pop_0,42.62,1.011
q_ind_35_pop_0,1156.16,1.000
q_ind_36_pop_0,571.08,1.001
q_ind_37_pop_0,1196.60,1.001
q_ind_38_pop_0,1332.97,1.000
q_ind_39_pop_0,741.94,1.000
q_ind_40_pop_0,910.96,1.004
q_ind_41_pop_0,1457.02,1.001
q_ind_42_pop_0,1011.50,1.000
q_ind_43_pop_0,1176.83,1.000
q_ind_44_pop_0,851.91,1.001
q_ind_45_pop_0,1389.20,1.000
q_ind_46_pop_0,1649.89,1.000
q_ind_47_pop_0,801.72,1.001
q_ind_48_pop_0,905.47,1.001
q_ind_49_pop_0,1504.11,1.000
q_ind_50_pop_0,2035.51,1.000
q_ind_51_pop_0,815.30,1.003
q_ind_52_pop_0,98.54,1.001
q_ind_53_pop_0,683.71,1.004
q_ind_54_pop_0,1509.63,1.003
q_ind_55_pop_0,3209.77,1.001
q_ind_56_pop_0,76.34,1.009
q_ind_57_pop_0,498.90,1.004
q_ind_58_pop_0,1291.92,1.000
q_ind_59_pop_0,1229.71,1.000
q_ind_60_pop_0,3399.55,1.001
q_ind_61_pop_0,1677.13,1.000
q_ind_62_pop_0,1976.49,1.001
q_ind_63_pop_0,2046.31,1.000
q_ind_64_pop_0,1283.65,1.001
q_ind_65_pop_0,1725.96,1.000
q_ind_66_pop_0,1056.37,1.002
q_ind_67_pop_0,899.27,1.001
q_ind_68_pop_0,147.38,1.021
q_ind_69_pop_0,1462.94,1.001
q_ind_70_pop_0,1331.02,1.000
q_ind_71_pop_0,1454.47,1.001
q_ind_72_pop_0,1603.87,1.000
q_ind_73_pop_0,1806.77,1.002
q_ind_74_pop_0,1805.68,1.001
q_ind_75_pop_0,1295.74,1.000
q_ind_76_pop_0,1309.21,1.001
q_ind_77_pop_0,1370.10,1.002
q_ind_78_pop_0,1270.07,1.000
q_ind_79_pop_0,2554.02,1.000
q_ind_80_pop_0,3656.54,1.001
q_ind_81_pop_0,4808.32,1.001
q_ind_82_pop_0,4042.22,1.000
q_ind_83_pop_0,3982.13,1.000
q_ind_84_pop_0,5323.09,1.000
q_ind_85_pop_0,3461.39,1.000
q_ind_86_pop_0,4426.19,1.001
q_ind_87_pop_0,3201.56,1.001
q_ind_88_pop_0,3398.00,1.000
q_ind_0_pop_1,1896.75,1.000
q_ind_1_pop_1,1934.06,1.000
q_ind_2_pop_1,2056.97,1.000
q_ind_3_pop_1,4040.04,1.001
q_ind_4_pop_1,2659.59,1.002
q_ind_5_pop_1,3581.34,1.001
q_ind_6_pop_1,2489.57,1.001
q_ind_7_pop_1,2130.94,1.000
q_ind_8_pop_1,1874.80,1.001
q_ind_9_pop_1,3545.13,1.000
q_ind_10_pop_1,3501.06,1.001
q_ind_11_pop_1,1682.57,1.000
q_ind_12_pop_1,1784.97,1.001
q_ind_13_pop_1,3003.67,1.000
q_ind_14_pop_1,1549.61,1.000
q_ind_15_pop_1,537.61,1.006
q_ind_16_pop_1,223.88,1.003
q_ind_17_pop_1,1015.88,1.004
q_ind_18_pop_1,58.32,1.036
q_ind_19_pop_1,388.32,1.001
q_ind_20_pop_1,709.29,1.001
q_ind_21_pop_1,2204.11,1.000
q_ind_22_pop_1,1225.36,1.002
q_ind_23_pop_1,60.25,1.145
q_ind_24_pop_1,1907.96,1.000
q_ind_25_pop_1,1424.72,1.000
q_ind_26_pop_1,1918.42,1.001
q_ind_27_pop_1,1742.52,1.001
q_ind_28_pop_1,1691.65,1.003
q_ind_29_pop_1,1118.44,1.000
q_ind_30_pop_1,1933.90,1.000
q_ind_31_pop_1,1542.76,1.001
q_ind_32_pop_1,1829.91,1.000
q_ind_33_pop_1,1496.70,1.000
q_ind_34_pop_1,886.06,1.001
q_ind_35_pop_1,1036.76,1.000
q_ind_36_pop_1,1640.78,1.000
q_ind_37_pop_1,1467.09,1.000
q_ind_38_pop_1,1597.03,1.000
q_ind_39_pop_1,1666.32,1.000
q_ind_40_pop_1,1266.11,1.004
q_ind_41_pop_1,2227.48,1.001
q_ind_42_pop_1,1503.97,1.002
q_ind_43_pop_1,1310.25,1.000
q_ind_44_pop_1,1196.54,1.002
q_ind_45_pop_1,846.17,1.003
q_ind_46_pop_1,826.35,1.003
q_ind_47_pop_1,1054.91,1.002
q_ind_48_pop_1,1083.38,1.001
q_ind_49_pop_1,1974.89,1.000
q_ind_50_pop_1,2924.62,1.000
q_ind_51_pop_1,1416.46,1.001
q_ind_52_pop_1,1215.81,1.006
q_ind_53_pop_1,829.15,1.000
q_ind_54_pop_1,3046.53,1.000
q_ind_55_pop_1,4137.07,1.000
q_ind_56_pop_1,2537.02,1.000
q_ind_57_pop_1,2402.34,1.001
q_ind_58_pop_1,2445.64,1.000
q_ind_59_pop_1,2421.91,1.003
q_ind_60_pop_1,4134.80,1.000
q_ind_61_pop_1,3286.42,1.000
q_ind_62_pop_1,4805.44,1.000
q_ind_63_pop_1,3715.76,1.000
q_ind_64_pop_1,3236.84,1.000
q_ind_65_pop_1,4197.93,1.000
q_ind_66_pop_1,1859.42,1.000
q_ind_67_pop_1,3969.04,1.000
q_ind_68_pop_1,4112.71,1.001
q_ind_69_pop_1,3086.74,1.002
q_ind_70_pop_1,2618.95,1.000
q_ind_71_pop_1,3615.33,1.000
q_ind_72_pop_1,2679.37,1.000
q_ind_73_pop_1,1802.57,1.000
q_ind_74_pop_1,2572.71,1.000
q_ind_75_pop_1,3532.63,1.002
q_ind_76_pop_1,2824.42,1.001
q_ind_77_pop_1,1746.81,1.001
q_ind_78_pop_1,3567.68,1.000
q_ind_79_pop_1,731.31,1.000
q_ind_80_pop_1,2125.66,1.000
q_ind_81_pop_1,2797.28,1.000
q_ind_82_pop_1,2574.42,1.000
q_ind_83_pop_1,1777.47,1.001
q_ind_84_pop_1,2165.78,1.002
q_ind_85_pop_1,1776.61,1.000
q_ind_86_pop_1,2246.21,1.001
q_ind_87_pop_1,2229.21,1.000
q_ind_88_pop_1,2177.97,1.000
q_ind_0_pop_2,1567.71,1.000
q_ind_1_pop_2,728.20,1.001
q_ind_2_pop_2,1428.97,1.002
q_ind_3_pop_2,3188.86,1.000
q_ind_4_pop_2,2281.73,1.001
q_ind_5_pop_2,3044.05,1.003
q_ind_6_pop_2,2865.19,1.001
q_ind_7_pop_2,2277.68,1.001
q_ind_8_pop_2,3296.37,1.000
q_ind_9_pop_2,1387.89,1.001
q_ind_10_pop_2,2842.51,1.000
q_ind_11_pop_2,1235.70,1.000
q_ind_12_pop_2,1659.75,1.000
q_ind_13_pop_2,1699.77,1.003
q_ind_14_pop_2,1017.25,1.001
q_ind_15_pop_2,573.37,1.005
q_ind_16_pop_2,212.14,1.004
q_ind_17_pop_2,604.34,1.000
q_ind_18_pop_2,58.31,1.035
q_ind_19_pop_2,372.90,1.001
q_ind_20_pop_2,707.99,1.001
q_ind_21_pop_2,172.25,1.011
q_ind_22_pop_2,563.54,1.003
q_ind_23_pop_2,60.43,1.146
q_ind_24_pop_2,1714.20,1.001
q_ind_25_pop_2,1572.29,1.000
q_ind_26_pop_2,1669.53,1.000
q_ind_27_pop_2,1266.43,1.001
q_ind_28_pop_2,1550.26,1.004
q_ind_29_pop_2,396.45,1.003
q_ind_30_pop_2,1016.74,1.001
q_ind_31_pop_2,793.35,1.003
q_ind_32_pop_2,2117.27,1.003
q_ind_33_pop_2,2358.98,1.001
q_ind_34_pop_2,1154.29,1.002
q_ind_35_pop_2,172.69,1.018
q_ind_36_pop_2,3454.57,1.003
q_ind_37_pop_2,1541.46,1.000
q_ind_38_pop_2,1382.22,1.000
q_ind_39_pop_2,1547.79,1.000
q_ind_40_pop_2,1110.91,1.001
q_ind_41_pop_2,598.53,1.004
q_ind_42_pop_2,1837.39,1.000
q_ind_43_pop_2,973.10,1.000
q_ind_44_pop_2,1937.77,1.001
q_ind_45_pop_2,890.71,1.000
q_ind_46_pop_2,837.03,1.003
q_ind_47_pop_2,1055.67,1.001
q_ind_48_pop_2,1086.37,1.001
q_ind_49_pop_2,1956.52,1.001
q_ind_50_pop_2,2916.63,1.000
q_ind_51_pop_2,2070.25,1.000
q_ind_52_pop_2,1236.39,1.007
q_ind_53_pop_2,828.59,1.000
q_ind_54_pop_2,2425.57,1.001
q_ind_55_pop_2,3739.69,1.000
q_ind_56_pop_2,2442.18,1.000
q_ind_57_pop_2,2502.97,1.000
q_ind_58_pop_2,2556.20,1.000
q_ind_59_pop_2,1119.35,1.000
q_ind_60_pop_2,4939.64,1.000
q_ind_61_pop_2,3879.90,1.000
q_ind_62_pop_2,4913.63,1.000
q_ind_63_pop_2,3078.76,1.000
q_ind_64_pop_2,2858.80,1.000
q_ind_65_pop_2,2628.52,1.000
q_ind_66_pop_2,4438.20,1.000
q_ind_67_pop_2,3300.41,1.001
q_ind_68_pop_2,2597.03,1.002
q_ind_69_pop_2,3374.95,1.000
q_ind_70_pop_2,2940.71,1.000
q_ind_71_pop_2,2305.53,1.001
q_ind_72_pop_2,3245.83,1.000
q_ind_73_pop_2,3063.37,1.000
q_ind_74_pop_2,2051.74,1.000
q_ind_75_pop_2,2507.88,1.000
q_ind_76_pop_2,3407.29,1.000
q_ind_77_pop_2,2009.34,1.001
q_ind_78_pop_2,2961.20,1.000
q_ind_79_pop_2,1455.04,1.000
q_ind_80_pop_2,2770.65,1.000
q_ind_81_pop_2,3099.83,1.000
q_ind_82_pop_2,3037.80,1.000
q_ind_83_pop_2,2128.67,1.001
q_ind_84_pop_2,2335.51,1.003
q_ind_85_pop_2,1969.12,1.000
q_ind_86_pop_2,2779.24,1.001
q_ind_87_pop_2,2462.84,1.000
q_ind_88_pop_2,2805.50,1.000
q_ind_0_pop_3,1802.96,1.000
q_ind_1_pop_3,2095.81,1.000
q_ind_2_pop_3,417.05,1.005
q_ind_3_pop_3,3002.77,1.001
q_ind_4_pop_3,1779.09,1.003
q_ind_5_pop_3,2641.85,1.000
q_ind_6_pop_3,2439.30,1.000
q_ind_7_pop_3,1490.02,1.001
q_ind_8_pop_3,2284.80,1.000
q_ind_9_pop_3,935.29,1.000
q_ind_10_pop_3,2123.73,1.003
q_ind_11_pop_3,1727.58,1.001
q_ind_12_pop_3,405.56,1.000
q_ind_13_pop_3,495.22,1.005
q_ind_14_pop_3,687.67,1.002
q_ind_15_pop_3,1384.95,1.001
q_ind_16_pop_3,2071.74,1.000
q_ind_17_pop_3,219.77,1.006
q_ind_18_pop_3,2163.76,1.001
q_ind_19_pop_3,1884.29,1.000
q_ind_20_pop_3,1355.60,1.000
q_ind_21_pop_3,2276.27,1.000
q_ind_22_pop_3,623.18,1.006
q_ind_23_pop_3,2292.58,1.000
q_ind_24_pop_3,2477.16,1.001
q_ind_25_pop_3,1811.98,1.002
q_ind_26_pop_3,3855.85,1.000
q_ind_27_pop_3,3112.99,1.000
q_ind_28_pop_3,2358.66,1.000
q_ind_29_pop_3,1938.02,1.000
q_ind_30_pop_3,1248.71,1.001
q_ind_31_pop_3,1082.10,1.001
q_ind_32_pop_3,1035.61,1.001
q_ind_33_pop_3,141.90,1.008
q_ind_34_pop_3,42.62,1.012
q_ind_35_pop_3,1271.23,1.003
q_ind_36_pop_3,571.74,1.001
q_ind_37_pop_3,1193.91,1.001
q_ind_38_pop_3,1331.86,1.000
q_ind_39_pop_3,743.26,1.000
q_ind_40_pop_3,640.20,1.009
q_ind_41_pop_3,1484.19,1.001
q_ind_42_pop_3,1007.14,1.000
q_ind_43_pop_3,1174.43,1.000
q_ind_44_pop_3,853.65,1.001
q_ind_45_pop_3,1223.07,1.002
q_ind_46_pop_3,1219.66,1.001
q_ind_47_pop_3,594.19,1.002
q_ind_48_pop_3,1421.42,1.000
q_ind_49_pop_3,963.42,1.007
q_ind_50_pop_3,700.24,1.002
q_ind_51_pop_3,957.22,1.001
q_ind_52_pop_3,1065.34,1.002
q_ind_53_pop_3,598.69,1.002
q_ind_54_pop_3,1332.49,1.002
q_ind_55_pop_3,2740.16,1.001
q_ind_56_pop_3,76.22,1.009
q_ind_57_pop_3,398.88,1.003
q_ind_58_pop_3,1293.29,1.000
q_ind_59_pop_3,930.56,1.000
q_ind_60_pop_3,2826.17,1.002
q_ind_61_pop_3,1446.74,1.000
q_ind_62_pop_3,979.98,1.001
q_ind_63_pop_3,1839.89,1.000
q_ind_64_pop_3,1182.57,1.001
q_ind_65_pop_3,1553.00,1.000
q_ind_66_pop_3,649.19,1.003
q_ind_67_pop_3,552.61,1.001
q_ind_68_pop_3,123.57,1.021
q_ind_69_pop_3,1461.73,1.001
q_ind_70_pop_3,1330.73,1.000
q_ind_71_pop_3,1454.31,1.000
q_ind_72_pop_3,1600.74,1.000
q_ind_73_pop_3,1809.29,1.002
q_ind_74_pop_3,1805.71,1.001
q_ind_75_pop_3,1297.13,1.000
q_ind_76_pop_3,1310.79,1.001
q_ind_77_pop_3,1371.23,1.002
q_ind_78_pop_3,1270.08,1.000
q_ind_79_pop_3,1438.63,1.000
q_ind_80_pop_3,4657.93,1.000
q_ind_81_pop_3,3340.72,1.000
q_ind_82_pop_3,4243.18,1.000
q_ind_83_pop_3,2768.54,1.000
q_ind_84_pop_3,3131.99,1.001
q_ind_85_pop_3,3380.60,1.000
q_ind_86_pop_3,3210.21,1.000
q_ind_87_pop_3,2838.85,1.001
q_ind_88_pop_3,3601.55,1.000
