param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000028,0.000000,0.000000,0.000341
q_ind_1_pop_0,0.000061,0.000000,0.000000,0.000715
q_ind_2_pop_0,0.000033,0.000000,0.000000,0.000378
q_ind_3_pop_0,0.000016,0.000000,0.000000,0.000192
q_ind_4_pop_0,0.000018,0.000000,0.000000,0.000200
q_ind_5_pop_0,0.000016,0.000000,0.000000,0.000185
q_ind_6_pop_0,0.000025,0.000000,0.000000,0.000299
q_ind_7_pop_0,0.000030,0.000000,0.000000,0.000345
q_ind_8_pop_0,0.000018,0.000000,0.000000,0.000208
q_ind_9_pop_0,0.000017,0.000000,0.000000,0.000198
q_ind_10_pop_0,0.000014,0.000000,0.000000,0.000163
q_ind_11_pop_0,0.010037,0.010394,0.000000,0.019913
q_ind_12_pop_0,0.000029,0.000000,0.000000,0.000340
q_ind_13_pop_0,0.000022,0.000000,0.000000,0.000269
q_ind_14_pop_0,0.000044,0.000000,0.000000,0.000541
q_ind_15_pop_0,0.999904,1.000000,0.999004,1.000000
q_ind_16_pop_0,0.999929,1.000000,0.999227,1.000000
q_ind_17_pop_0,0.984276,0.984437,0.974907,0.992557
q_ind_18_pop_0,0.999959,1.000000,0.999556,1.000000
q_ind_19_pop_0,0.999940,1.000000,0.999387,1.000000
q_ind_20_pop_0,0.999915,1.000000,0.999070,1.000000
q_ind_21_pop_0,0.947853,0.947975,0.937089,0.958069
q_ind_22_pop_0,0.959126,0.959197,0.947000,0.970883
q_ind_23_pop_0,0.999955,1.000000,0.999517,1.000000
q_ind_24_pop_0,0.999963,1.000000,0.999613,1.000000
q_ind_25_pop_0,0.999949,1.000000,0.999486,1.000000
q_ind_26_pop_0,0.999955,1.000000,0.999524,1.000000
q_ind_27_pop_0,0.999968,1.000000,0.999659,1.000000
q_ind_28_pop_0,0.999947,1.000000,0.999433,1.000000
q_ind_29_pop_0,0.000078,0.000000,0.000000,0.000957
q_ind_30_pop_0,0.000055,0.000000,0.000000,0.000644
q_ind_31_pop_0,0.032987,0.032906,0.022799,0.043710
q_ind_32_pop_0,0.000034,0.000000,0.000000,0.000391
q_ind_33_pop_0,0.000028,0.000000,0.000000,0.000314
q_ind_34_pop_0,0.000060,0.000000,0.000000,0.000661
q_ind_35_pop_0,0.000288,0.000000,0.000000,0.003398
q_ind_36_pop_0,0.000018,0.000000,0.000000,0.000205
q_ind_37_pop_0,0.000053,0.000000,0.000000,0.000624
q_ind_38_pop_0,0.000025,0.000000,0.000000,0.000277
q_ind_39_pop_0,0.000042,0.000000,0.000000,0.000520
q_ind_40_pop_0,0.019266,0.019216,0.009685,0.029389
q_ind_41_pop_0,0.000074,0.000000,0.000000,0.000875
q_ind_42_pop_0,0.000027,0.000000,0.000000,0.000324
q_ind_43_pop_0,0.000052,0.000000,0.000000,0.000657
q_ind_44_pop_0,0.000043,0.000000,0.000000,0.000447
q_ind_45_pop_0,0.034827,0.034703,0.024536,0.045588
q_ind_46_pop_0,0.999941,1.000000,0.999373,1.000000
q_ind_47_pop_0,0.999910,1.000000,0.999065,1.000000
q_ind_48_pop_0,0.999942,1.000000,0.999394,1.000000
q_ind_49_pop_0,0.999878,1.000000,0.998681,1.000000
q_ind_50_pop_0,0.999922,1.000000,0.999145,1.000000
q_ind_51_pop_0,0.944202,0.944303,0.931274,0.956659
q_ind_52_pop_0,0.999868,1.000000,0.998580,1.000000
q_ind_53_pop_0,0.999844,1.000000,0.998328,1.000000
q_ind_54_pop_0,0.000013,0.000000,0.000000,0.000146
q_ind_55_pop_0,0.000012,0.000000,0.000000,0.000144
q_ind_56_pop_0,0.000020,0.000000,0.000000,0.000224
q_ind_57_pop_0,0.000016,0.000000,0.000000,0.000177
