param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1493.25,1.000
q_ind_1_pop_0,1121.82,1.001
q_ind_2_pop_0,1833.95,1.000
q_ind_3_pop_0,2971.68,1.001
q_ind_4_pop_0,2609.24,1.000
q_ind_5_pop_0,2457.86,1.000
q_ind_6_pop_0,2055.51,1.001
q_ind_7_pop_0,1381.11,1.003
q_ind_8_pop_0,2233.50,1.000
q_ind_9_pop_0,3074.33,1.000
q_ind_10_pop_0,3484.50,1.001
q_ind_11_pop_0,177.81,1.014
q_ind_12_pop_0,1472.55,1.000
q_ind_13_pop_0,2080.65,1.001
q_ind_14_pop_0,1268.05,1.002
q_ind_15_pop_0,951.76,1.003
q_ind_16_pop_0,1212.77,1.003
q_ind_17_pop_0,722.42,1.006
q_ind_18_pop_0,2175.30,1.002
q_ind_19_pop_0,1325.55,1.000
q_ind_20_pop_0,1212.73,1.001
q_ind_21_pop_0,1831.24,1.000
q_ind_22_pop_0,1005.43,1.000
q_ind_23_pop_0,1977.68,1.001
q_ind_24_pop_0,2794.91,1.000
q_ind_25_pop_0,1625.79,1.001
q_ind_26_pop_0,2133.63,1.000
q_ind_27_pop_0,3687.58,1.002
q_ind_28_pop_0,1756.13,1.000
q_ind_29_pop_0,774.61,1.001
q_ind_30_pop_0,1214.29,1.000
q_ind_31_pop_0,1029.64,1.000
q_ind_32_pop_0,1256.08,1.001
q_ind_33_pop_0,1634.29,1.001
q_ind_34_pop_0,1118.68,1.001
q_ind_35_pop_0,204.71,1.010
q_ind_36_pop_0,3012.42,1.000
q_ind_37_pop_0,628.00,1.007
q_ind_38_pop_0,1574.10,1.000
q_ind_39_pop_0,1254.11,1.000
q_ind_40_pop_0,716.40,1.003
q_ind_41_pop_0,789.53,1.001
q_ind_42_pop_0,2064.44,1.000
q_ind_43_pop_0,1007.74,1.001
q_ind_44_pop_0,1089.44,1.000
q_ind_45_pop_0,1152.78,1.001
q_ind_46_pop_0,1718.38,1.001
q_ind_47_pop_0,944.61,1.002
q_ind_48_pop_0,1767.97,1.002
q_ind_49_pop_0,694.17,1.006
q_ind_50_pop_0,983.63,1.000
q_ind_51_pop_0,1532.80,1.002
q_ind_52_pop_0,535.80,1.004
q_ind_53_pop_0,656.29,1.004
q_ind_54_pop_0,3368.61,1.002
q_ind_55_pop_0,3113.56,1.000
q_ind_56_pop_0,2524.02,1.000
q_ind_57_pop_0,2662.47,1.000
q_ind_58_pop_0,2406.27,1.000
q_ind_59_pop_0,416.45,1.038
