param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000017,0.000000,0.000000,0.000200
q_ind_1_pop_0,0.000063,0.000000,0.000000,0.000789
q_ind_2_pop_0,0.000037,0.000000,0.000000,0.000432
q_ind_3_pop_0,0.000013,0.000000,0.000000,0.000155
q_ind_4_pop_0,0.000017,0.000000,0.000000,0.000209
q_ind_5_pop_0,0.000014,0.000000,0.000000,0.000155
q_ind_6_pop_0,0.000019,0.000000,0.000000,0.000235
q_ind_7_pop_0,0.000017,0.000000,0.000000,0.000202
q_ind_8_pop_0,0.000015,0.000000,0.000000,0.000180
q_ind_9_pop_0,0.000019,0.000000,0.000000,0.000209
q_ind_10_pop_0,0.000010,0.000000,0.000000,0.000115
q_ind_11_pop_0,0.016990,0.016893,0.009802,0.024877
q_ind_12_pop_0,0.000017,0.000000,0.000000,0.000192
q_ind_13_pop_0,0.000022,0.000000,0.000000,0.000258
q_ind_14_pop_0,0.000037,0.000000,0.000000,0.000454
q_ind_15_pop_0,0.000246,0.000000,0.000000,0.003141
q_ind_16_pop_0,0.000317,0.000000,0.000000,0.003930
q_ind_17_pop_0,0.025311,0.025276,0.015809,0.035231
q_ind_18_pop_0,0.011634,0.011597,0.004098,0.019306
q_ind_19_pop_0,0.000409,0.000000,0.000000,0.005094
q_ind_20_pop_0,0.015088,0.015078,0.007004,0.023508
q_ind_21_pop_0,0.001316,0.000000,0.000000,0.009501
q_ind_22_pop_0,0.027797,0.027601,0.017063,0.039816
q_ind_23_pop_0,0.009279,0.009516,0.000000,0.016742
q_ind_24_pop_0,0.000023,0.000000,0.000000,0.000252
q_ind_25_pop_0,0.000037,0.000000,0.000000,0.000460
q_ind_26_pop_0,0.000031,0.000000,0.000000,0.000377
q_ind_27_pop_0,0.000044,0.000000,0.000000,0.000487
q_ind_28_pop_0,0.000064,0.000000,0.000000,0.000740
q_ind_29_pop_0,0.000031,0.000000,0.000000,0.000335
q_ind_30_pop_0,0.000023,0.000000,0.000000,0.000235
q_ind_31_pop_0,0.000029,0.000000,0.000000,0.000322
q_ind_32_pop_0,0.000017,0.000000,0.000000,0.000189
q_ind_33_pop_0,0.000010,0.000000,0.000000,0.000114
q_ind_34_pop_0,0.000020,0.000000,0.000000,0.000241
