param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2147.22,1.000
q_ind_1_pop_0,616.67,1.000
q_ind_2_pop_0,1289.89,1.002
q_ind_3_pop_0,1972.76,1.000
q_ind_4_pop_0,1364.53,1.002
q_ind_5_pop_0,2260.42,1.000
q_ind_6_pop_0,1585.96,1.000
q_ind_7_pop_0,1351.45,1.000
q_ind_8_pop_0,2450.41,1.000
q_ind_9_pop_0,1339.35,1.000
q_ind_10_pop_0,1843.46,1.002
q_ind_11_pop_0,368.37,1.004
q_ind_12_pop_0,1687.76,1.005
q_ind_13_pop_0,1490.45,1.000
q_ind_14_pop_0,711.61,1.001
q_ind_15_pop_0,150.51,1.004
q_ind_16_pop_0,2325.43,1.001
q_ind_17_pop_0,179.04,1.006
q_ind_18_pop_0,1860.99,1.001
q_ind_19_pop_0,1863.32,1.001
q_ind_20_pop_0,1231.40,1.000
q_ind_21_pop_0,606.16,1.000
q_ind_22_pop_0,82.91,1.010
q_ind_23_pop_0,1787.22,1.000
q_ind_24_pop_0,2493.15,1.003
q_ind_25_pop_0,2084.93,1.000
q_ind_26_pop_0,2723.73,1.000
q_ind_27_pop_0,2759.94,1.001
q_ind_28_pop_0,3361.52,1.001
q_ind_29_pop_0,635.31,1.001
q_ind_30_pop_0,1089.95,1.002
q_ind_31_pop_0,480.05,1.001
q_ind_32_pop_0,486.97,1.003
q_ind_33_pop_0,1426.66,1.000
q_ind_34_pop_0,1402.11,1.000
q_ind_35_pop_0,348.02,1.000
q_ind_36_pop_0,1595.04,1.000
q_ind_37_pop_0,1142.60,1.003
q_ind_38_pop_0,1047.58,1.000
q_ind_39_pop_0,833.77,1.000
q_ind_40_pop_0,292.55,1.003
q_ind_41_pop_0,892.98,1.005
q_ind_42_pop_0,1296.62,1.001
q_ind_43_pop_0,512.32,1.003
q_ind_44_pop_0,601.62,1.005
q_ind_45_pop_0,7.42,1.165
q_ind_46_pop_0,1532.59,1.001
q_ind_47_pop_0,540.49,1.005
q_ind_48_pop_0,967.97,1.000
q_ind_49_pop_0,978.69,1.005
q_ind_50_pop_0,1271.40,1.000
q_ind_51_pop_0,31.69,1.075
q_ind_52_pop_0,313.61,1.007
q_ind_53_pop_0,823.11,1.013
q_ind_54_pop_0,1742.02,1.000
q_ind_55_pop_0,1833.83,1.001
q_ind_56_pop_0,722.36,1.001
q_ind_57_pop_0,1372.24,1.001
q_ind_58_pop_0,816.62,1.002
q_ind_59_pop_0,53.67,1.025
q_ind_60_pop_0,2432.08,1.001
q_ind_61_pop_0,2047.44,1.000
q_ind_62_pop_0,2397.34,1.000
q_ind_63_pop_0,2100.80,1.002
q_ind_64_pop_0,2080.59,1.000
q_ind_65_pop_0,2448.41,1.001
q_ind_66_pop_0,1777.10,1.001
q_ind_67_pop_0,2201.57,1.001
q_ind_68_pop_0,1897.23,1.003
q_ind_69_pop_0,938.98,1.001
q_ind_70_pop_0,1124.50,1.003
q_ind_71_pop_0,1887.50,1.000
q_ind_72_pop_0,1313.76,1.000
q_ind_73_pop_0,1094.30,1.001
q_ind_74_pop_0,1110.52,1.001
q_ind_75_pop_0,2509.63,1.001
q_ind_76_pop_0,786.81,1.005
q_ind_77_pop_0,1508.36,1.001
q_ind_78_pop_0,960.03,1.005
q_ind_79_pop_0,477.39,1.000
q_ind_80_pop_0,3950.68,1.000
q_ind_81_pop_0,3573.11,1.000
q_ind_82_pop_0,3304.23,1.000
q_ind_83_pop_0,2413.27,1.000
q_ind_84_pop_0,3625.77,1.000
q_ind_85_pop_0,2765.73,1.000
q_ind_86_pop_0,2797.32,1.001
q_ind_87_pop_0,2122.09,1.001
q_ind_88_pop_0,3600.42,1.000
q_ind_0_pop_1,1690.37,1.001
q_ind_1_pop_1,430.80,1.004
q_ind_2_pop_1,1549.63,1.003
q_ind_3_pop_1,1637.39,1.000
q_ind_4_pop_1,1880.07,1.000
q_ind_5_pop_1,1574.70,1.000
q_ind_6_pop_1,1971.41,1.003
q_ind_7_pop_1,1332.07,1.002
q_ind_8_pop_1,2335.67,1.001
q_ind_9_pop_1,2033.01,1.002
q_ind_10_pop_1,1385.81,1.000
q_ind_11_pop_1,677.67,1.001
q_ind_12_pop_1,1683.92,1.001
q_ind_13_pop_1,742.04,1.002
q_ind_14_pop_1,1390.90,1.002
q_ind_15_pop_1,2112.74,1.000
q_ind_16_pop_1,1833.90,1.000
q_ind_17_pop_1,22.66,1.013
q_ind_18_pop_1,2639.43,1.001
q_ind_19_pop_1,2240.61,1.000
q_ind_20_pop_1,2520.25,1.000
q_ind_21_pop_1,1406.29,1.001
q_ind_22_pop_1,52.69,1.028
q_ind_23_pop_1,3128.92,1.000
q_ind_24_pop_1,3348.24,1.000
q_ind_25_pop_1,2744.02,1.000
q_ind_26_pop_1,3419.84,1.001
q_ind_27_pop_1,3486.46,1.001
q_ind_28_pop_1,2399.01,1.000
q_ind_29_pop_1,160.99,1.023
q_ind_30_pop_1,186.04,1.025
q_ind_31_pop_1,217.92,1.012
q_ind_32_pop_1,139.22,1.035
q_ind_33_pop_1,136.56,1.026
q_ind_34_pop_1,154.06,1.029
q_ind_35_pop_1,111.34,1.031
q_ind_36_pop_1,114.71,1.036
q_ind_37_pop_1,131.25,1.033
q_ind_38_pop_1,131.44,1.037
q_ind_39_pop_1,157.74,1.025
q_ind_40_pop_1,206.37,1.026
q_ind_41_pop_1,208.22,1.024
q_ind_42_pop_1,118.58,1.039
q_ind_43_pop_1,166.95,1.031
q_ind_44_pop_1,150.31,1.029
q_ind_45_pop_1,182.79,1.008
q_ind_46_pop_1,1944.03,1.000
q_ind_47_pop_1,1814.05,1.002
q_ind_48_pop_1,1032.54,1.001
q_ind_49_pop_1,1165.81,1.001
q_ind_50_pop_1,840.28,1.002
q_ind_51_pop_1,334.46,1.011
q_ind_52_pop_1,323.99,1.010
q_ind_53_pop_1,693.72,1.000
q_ind_54_pop_1,134.25,1.028
q_ind_55_pop_1,138.38,1.027
q_ind_56_pop_1,132.13,1.033
q_ind_57_pop_1,113.40,1.030
q_ind_58_pop_1,115.14,1.043
q_ind_59_pop_1,221.11,1.028
q_ind_60_pop_1,99.68,1.033
q_ind_61_pop_1,131.41,1.035
q_ind_62_pop_1,169.06,1.027
q_ind_63_pop_1,35.55,1.118
q_ind_64_pop_1,119.08,1.036
q_ind_65_pop_1,65.86,1.058
q_ind_66_pop_1,111.72,1.037
q_ind_67_pop_1,161.73,1.036
q_ind_68_pop_1,153.75,1.034
q_ind_69_pop_1,235.04,1.015
q_ind_70_pop_1,938.14,1.004
q_ind_71_pop_1,1221.94,1.002
q_ind_72_pop_1,837.56,1.002
q_ind_73_pop_1,408.89,1.002
q_ind_74_pop_1,71.22,1.012
q_ind_75_pop_1,1785.28,1.000
q_ind_76_pop_1,1033.31,1.002
q_ind_77_pop_1,1365.15,1.000
q_ind_78_pop_1,1139.28,1.001
q_ind_79_pop_1,2123.20,1.000
q_ind_80_pop_1,2806.81,1.000
q_ind_81_pop_1,3312.16,1.000
q_ind_82_pop_1,4538.51,1.001
q_ind_83_pop_1,3476.39,1.000
q_ind_84_pop_1,3994.05,1.000
q_ind_85_pop_1,3655.20,1.000
q_ind_86_pop_1,3911.29,1.000
q_ind_87_pop_1,2621.77,1.001
q_ind_88_pop_1,4285.37,1.000
q_ind_0_pop_2,2802.59,1.001
q_ind_1_pop_2,811.02,1.000
q_ind_2_pop_2,1024.34,1.001
q_ind_3_pop_2,4262.31,1.001
q_ind_4_pop_2,3628.06,1.000
q_ind_5_pop_2,2911.10,1.001
q_ind_6_pop_2,2733.41,1.001
q_ind_7_pop_2,2110.50,1.000
q_ind_8_pop_2,2597.76,1.000
q_ind_9_pop_2,2658.99,1.001
q_ind_10_pop_2,3418.20,1.000
q_ind_11_pop_2,1039.68,1.000
q_ind_12_pop_2,1710.02,1.000
q_ind_13_pop_2,1897.83,1.000
q_ind_14_pop_2,1792.90,1.002
q_ind_15_pop_2,288.30,1.000
q_ind_16_pop_2,399.62,1.000
q_ind_17_pop_2,679.94,1.003
q_ind_18_pop_2,669.16,1.001
q_ind_19_pop_2,157.66,1.001
q_ind_20_pop_2,835.41,1.007
q_ind_21_pop_2,134.01,1.006
q_ind_22_pop_2,743.89,1.003
q_ind_23_pop_2,122.48,1.067
q_ind_24_pop_2,1771.03,1.000
q_ind_25_pop_2,1516.57,1.002
q_ind_26_pop_2,1571.04,1.002
q_ind_27_pop_2,932.91,1.001
q_ind_28_pop_2,827.93,1.003
q_ind_29_pop_2,605.85,1.005
q_ind_30_pop_2,1718.30,1.001
q_ind_31_pop_2,1862.55,1.000
q_ind_32_pop_2,2419.43,1.001
q_ind_33_pop_2,3970.39,1.000
q_ind_34_pop_2,2439.07,1.000
q_ind_35_pop_2,694.99,1.002
q_ind_36_pop_2,3737.71,1.000
q_ind_37_pop_2,1978.63,1.001
q_ind_38_pop_2,2226.52,1.000
q_ind_39_pop_2,1973.08,1.000
q_ind_40_pop_2,809.81,1.002
q_ind_41_pop_2,901.77,1.001
q_ind_42_pop_2,2563.61,1.000
q_ind_43_pop_2,1616.02,1.001
q_ind_44_pop_2,2748.76,1.001
q_ind_45_pop_2,186.60,1.040
q_ind_46_pop_2,1041.05,1.001
q_ind_47_pop_2,1205.11,1.000
q_ind_48_pop_2,1123.10,1.001
q_ind_49_pop_2,2094.23,1.001
q_ind_50_pop_2,2901.12,1.000
q_ind_51_pop_2,1149.52,1.004
q_ind_52_pop_2,1173.08,1.000
q_ind_53_pop_2,906.15,1.001
q_ind_54_pop_2,2664.87,1.001
q_ind_55_pop_2,2444.45,1.000
q_ind_56_pop_2,2989.09,1.001
q_ind_57_pop_2,3703.26,1.000
q_ind_58_pop_2,2726.49,1.001
q_ind_59_pop_2,1115.54,1.004
q_ind_60_pop_2,4499.15,1.000
q_ind_61_pop_2,4045.49,1.000
q_ind_62_pop_2,3614.32,1.000
q_ind_63_pop_2,2817.84,1.000
q_ind_64_pop_2,2285.44,1.000
q_ind_65_pop_2,3039.19,1.000
q_ind_66_pop_2,2809.48,1.000
q_ind_67_pop_2,3106.88,1.000
q_ind_68_pop_2,2254.16,1.001
q_ind_69_pop_2,4013.47,1.001
q_ind_70_pop_2,3546.11,1.000
q_ind_71_pop_2,3587.25,1.000
q_ind_72_pop_2,3224.16,1.000
q_ind_73_pop_2,2450.24,1.000
q_ind_74_pop_2,2372.12,1.001
q_ind_75_pop_2,4138.64,1.000
q_ind_76_pop_2,3590.06,1.000
q_ind_77_pop_2,2971.83,1.001
q_ind_78_pop_2,2825.23,1.000
q_ind_79_pop_2,1554.46,1.000
q_ind_80_pop_2,2766.46,1.003
q_ind_81_pop_2,2442.69,1.000
q_ind_82_pop_2,2653.12,1.001
q_ind_83_pop_2,2146.00,1.001
q_ind_84_pop_2,1162.19,1.000
q_ind_85_pop_2,1972.18,1.001
q_ind_86_pop_2,2166.30,1.000
q_ind_87_pop_2,1715.62,1.000
q_ind_88_pop_2,2791.90,1.000
q_ind_0_pop_3,2515.54,1.001
q_ind_1_pop_3,2217.48,1.001
q_ind_2_pop_3,2527.70,1.001
q_ind_3_pop_3,3577.97,1.000
q_ind_4_pop_3,3275.52,1.000
q_ind_5_pop_3,2665.86,1.000
q_ind_6_pop_3,2318.53,1.001
q_ind_7_pop_3,2499.82,1.000
q_ind_8_pop_3,2345.29,1.001
q_ind_9_pop_3,2675.68,1.001
q_ind_10_pop_3,2831.63,1.001
q_ind_11_pop_3,2269.03,1.000
q_ind_12_pop_3,2859.71,1.000
q_ind_13_pop_3,2789.75,1.000
q_ind_14_pop_3,2457.55,1.000
q_ind_15_pop_3,311.31,1.001
q_ind_16_pop_3,405.44,1.000
q_ind_17_pop_3,164.94,1.015
q_ind_18_pop_3,670.14,1.002
q_ind_19_pop_3,155.38,1.001
q_ind_20_pop_3,834.60,1.006
q_ind_21_pop_3,598.39,1.002
q_ind_22_pop_3,708.83,1.002
q_ind_23_pop_3,120.89,1.067
q_ind_24_pop_3,2250.70,1.000
q_ind_25_pop_3,1397.42,1.001
q_ind_26_pop_3,1839.25,1.003
q_ind_27_pop_3,1121.23,1.000
q_ind_28_pop_3,1140.61,1.002
q_ind_29_pop_3,1849.83,1.001
q_ind_30_pop_3,2934.98,1.001
q_ind_31_pop_3,1427.12,1.000
q_ind_32_pop_3,2570.15,1.004
q_ind_33_pop_3,3944.54,1.000
q_ind_34_pop_3,1500.44,1.000
q_ind_35_pop_3,1507.04,1.001
q_ind_36_pop_3,3774.69,1.001
q_ind_37_pop_3,1928.95,1.000
q_ind_38_pop_3,2244.98,1.000
q_ind_39_pop_3,1706.72,1.002
q_ind_40_pop_3,1676.36,1.000
q_ind_41_pop_3,2997.27,1.002
q_ind_42_pop_3,3798.29,1.000
q_ind_43_pop_3,1927.84,1.001
q_ind_44_pop_3,2206.98,1.001
q_ind_45_pop_3,46.81,1.054
q_ind_46_pop_3,1043.62,1.001
q_ind_47_pop_3,1198.10,1.001
q_ind_48_pop_3,1131.82,1.001
q_ind_49_pop_3,2082.37,1.001
q_ind_50_pop_3,2895.55,1.000
q_ind_51_pop_3,595.37,1.009
q_ind_52_pop_3,1118.82,1.000
q_ind_53_pop_3,874.72,1.002
q_ind_54_pop_3,3460.24,1.000
q_ind_55_pop_3,3648.98,1.001
q_ind_56_pop_3,2531.66,1.000
q_ind_57_pop_3,2591.09,1.000
q_ind_58_pop_3,2245.84,1.000
q_ind_59_pop_3,2000.04,1.000
q_ind_60_pop_3,4595.49,1.001
q_ind_61_pop_3,3331.63,1.000
q_ind_62_pop_3,3714.98,1.001
q_ind_63_pop_3,3421.54,1.000
q_ind_64_pop_3,3646.62,1.000
q_ind_65_pop_3,3442.31,1.000
q_ind_66_pop_3,3659.00,1.001
q_ind_67_pop_3,3545.51,1.001
q_ind_68_pop_3,2843.49,1.000
q_ind_69_pop_3,3015.67,1.000
q_ind_70_pop_3,2848.60,1.000
q_ind_71_pop_3,3452.69,1.000
q_ind_72_pop_3,2976.00,1.000
q_ind_73_pop_3,1939.35,1.000
q_ind_74_pop_3,2947.32,1.000
q_ind_75_pop_3,3828.07,1.000
q_ind_76_pop_3,3389.19,1.001
q_ind_77_pop_3,4328.07,1.000
q_ind_78_pop_3,3387.11,1.000
q_ind_79_pop_3,496.45,1.002
q_ind_80_pop_3,2514.23,1.004
q_ind_81_pop_3,1854.93,1.001
q_ind_82_pop_3,1915.52,1.000
q_ind_83_pop_3,1742.13,1.002
q_ind_84_pop_3,1029.68,1.000
q_ind_85_pop_3,1509.23,1.000
q_ind_86_pop_3,1870.88,1.002
q_ind_87_pop_3,889.02,1.002
q_ind_88_pop_3,2188.93,1.000
q_ind_0_pop_4,215.23,1.002
q_ind_1_pop_4,572.34,1.008
q_ind_2_pop_4,880.02,1.000
q_ind_3_pop_4,582.49,1.005
q_ind_4_pop_4,335.97,1.003
q_ind_5_pop_4,718.75,1.009
q_ind_6_pop_4,364.01,1.006
q_ind_7_pop_4,437.62,1.001
q_ind_8_pop_4,515.76,1.004
q_ind_9_pop_4,458.01,1.002
q_ind_10_pop_4,29.63,1.013
q_ind_11_pop_4,583.40,1.000
q_ind_12_pop_4,331.33,1.008
q_ind_13_pop_4,640.89,1.004
q_ind_14_pop_4,873.82,1.003
q_ind_15_pop_4,1846.62,1.001
q_ind_16_pop_4,2209.51,1.000
q_ind_17_pop_4,63.17,1.007
q_ind_18_pop_4,1581.61,1.000
q_ind_19_pop_4,2069.34,1.002
q_ind_20_pop_4,1707.32,1.000
q_ind_21_pop_4,42.67,1.021
q_ind_22_pop_4,104.68,1.006
q_ind_23_pop_4,2531.81,1.002
q_ind_24_pop_4,4232.20,1.001
q_ind_25_pop_4,2143.11,1.000
q_ind_26_pop_4,3887.78,1.000
q_ind_27_pop_4,3319.70,1.000
q_ind_28_pop_4,2048.15,1.000
q_ind_29_pop_4,1227.66,1.000
q_ind_30_pop_4,209.92,1.000
q_ind_31_pop_4,658.97,1.004
q_ind_32_pop_4,478.10,1.000
q_ind_33_pop_4,2673.71,1.000
q_ind_34_pop_4,1053.63,1.001
q_ind_35_pop_4,157.86,1.005
q_ind_36_pop_4,1110.57,1.001
q_ind_37_pop_4,179.77,1.009
q_ind_38_pop_4,252.43,1.002
q_ind_39_pop_4,87.70,1.024
q_ind_40_pop_4,566.44,1.002
q_ind_41_pop_4,711.34,1.000
q_ind_42_pop_4,665.34,1.003
q_ind_43_pop_4,133.27,1.021
q_ind_44_pop_4,525.99,1.001
q_ind_45_pop_4,724.02,1.019
q_ind_46_pop_4,2344.31,1.002
q_ind_47_pop_4,709.89,1.002
q_ind_48_pop_4,2382.46,1.000
q_ind_49_pop_4,846.59,1.000
q_ind_50_pop_4,1794.35,1.000
q_ind_51_pop_4,445.61,1.023
q_ind_52_pop_4,716.54,1.005
q_ind_53_pop_4,796.06,1.004
q_ind_54_pop_4,690.85,1.005
q_ind_55_pop_4,1128.22,1.000
q_ind_56_pop_4,107.35,1.049
q_ind_57_pop_4,278.16,1.002
q_ind_58_pop_4,651.68,1.005
q_ind_59_pop_4,474.01,1.000
q_ind_60_pop_4,1933.12,1.000
q_ind_61_pop_4,1223.79,1.002
q_ind_62_pop_4,1988.57,1.004
q_ind_63_pop_4,1187.47,1.001
q_ind_64_pop_4,1105.05,1.001
q_ind_65_pop_4,1668.63,1.000
q_ind_66_pop_4,279.81,1.001
q_ind_67_pop_4,718.73,1.003
q_ind_68_pop_4,1046.41,1.001
q_ind_69_pop_4,746.39,1.003
q_ind_70_pop_4,401.30,1.025
q_ind_71_pop_4,544.50,1.007
