param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000018,0.000000,0.000000,0.000179
q_ind_1_pop_0,0.075052,0.075032,0.062966,0.087479
q_ind_2_pop_0,0.000115,0.000000,0.000000,0.001520
q_ind_3_pop_0,0.000018,0.000000,0.000000,0.000200
q_ind_4_pop_0,0.000026,0.000000,0.000000,0.000281
q_ind_5_pop_0,0.000020,0.000000,0.000000,0.000220
q_ind_6_pop_0,0.000022,0.000000,0.000000,0.000244
q_ind_7_pop_0,0.000033,0.000000,0.000000,0.000387
q_ind_8_pop_0,0.000015,0.000000,0.000000,0.000173
q_ind_9_pop_0,0.000027,0.000000,0.000000,0.000324
q_ind_10_pop_0,0.000041,0.000000,0.000000,0.000507
q_ind_11_pop_0,0.046291,0.046164,0.035887,0.057272
q_ind_12_pop_0,0.000209,0.000000,0.000000,0.002589
q_ind_13_pop_0,0.000082,0.000000,0.000000,0.000904
q_ind_14_pop_0,0.010236,0.011127,0.000000,0.021483
q_ind_15_pop_0,0.000034,0.000000,0.000000,0.000392
q_ind_16_pop_0,0.000016,0.000000,0.000000,0.000174
q_ind_17_pop_0,0.011744,0.012288,0.000000,0.021796
q_ind_18_pop_0,0.000017,0.000000,0.000000,0.000189
q_ind_19_pop_0,0.000023,0.000000,0.000000,0.000257
q_ind_20_pop_0,0.000022,0.000000,0.000000,0.000261
q_ind_21_pop_0,0.000028,0.000000,0.000000,0.000321
q_ind_22_pop_0,0.039192,0.039101,0.028445,0.050468
q_ind_23_pop_0,0.000017,0.000000,0.000000,0.000183
q_ind_24_pop_0,0.000010,0.000000,0.000000,0.000125
q_ind_25_pop_0,0.000013,0.000000,0.000000,0.000135
q_ind_26_pop_0,0.000012,0.000000,0.000000,0.000140
q_ind_27_pop_0,0.000012,0.000000,0.000000,0.000146
q_ind_28_pop_0,0.000015,0.000000,0.000000,0.000169
q_ind_29_pop_0,0.907400,0.907394,0.892699,0.921705
q_ind_30_pop_0,0.954264,0.954376,0.940999,0.967136
q_ind_31_pop_0,0.885656,0.885858,0.869174,0.901410
q_ind_32_pop_0,0.966731,0.966746,0.953415,0.980010
q_ind_33_pop_0,0.998288,0.999957,0.986886,1.000000
q_ind_34_pop_0,0.983365,0.983504,0.972815,0.992940
q_ind_35_pop_0,0.950510,0.950838,0.936653,0.962614
q_ind_36_pop_0,0.968956,0.969112,0.957251,0.979736
q_ind_37_pop_0,0.954325,0.954573,0.941524,0.966383
q_ind_38_pop_0,0.951501,0.951614,0.937603,0.965147
q_ind_39_pop_0,0.958459,0.958743,0.945272,0.970770
q_ind_40_pop_0,0.949360,0.949332,0.935158,0.963271
q_ind_41_pop_0,0.938304,0.938335,0.925436,0.950949
q_ind_42_pop_0,0.965096,0.965068,0.953745,0.976029
q_ind_43_pop_0,0.954047,0.954256,0.941614,0.965594
q_ind_44_pop_0,0.960616,0.960725,0.948622,0.972113
q_ind_45_pop_0,0.882527,0.882559,0.866881,0.898153
q_ind_46_pop_0,0.000024,0.000000,0.000000,0.000288
q_ind_47_pop_0,0.000043,0.000000,0.000000,0.000487
q_ind_48_pop_0,0.000037,0.000000,0.000000,0.000411
q_ind_49_pop_0,0.000032,0.000000,0.000000,0.000405
q_ind_50_pop_0,0.000028,0.000000,0.000000,0.000337
q_ind_51_pop_0,0.025956,0.025848,0.014745,0.037897
q_ind_52_pop_0,0.000098,0.000000,0.000000,0.001092
q_ind_53_pop_0,0.000082,0.000000,0.000000,0.001059
q_ind_54_pop_0,0.999913,0.999998,0.999221,1.000000
q_ind_55_pop_0,0.999936,0.999999,0.999421,1.000000
q_ind_56_pop_0,0.998307,0.999950,0.988884,1.000000
q_ind_57_pop_0,0.999825,0.999997,0.998330,1.000000
q_ind_58_pop_0,0.947457,0.947476,0.934545,0.959877
q_ind_59_pop_0,0.942260,0.942391,0.929228,0.954565
q_ind_60_pop_0,0.999944,0.999999,0.999506,1.000000
q_ind_61_pop_0,0.999936,0.999999,0.999428,1.000000
q_ind_62_pop_0,0.999939,0.999999,0.999461,1.000000
q_ind_63_pop_0,0.999934,0.999998,0.999389,1.000000
q_ind_64_pop_0,0.999914,0.999998,0.999219,1.000000
q_ind_65_pop_0,0.999930,0.999998,0.999371,1.000000
q_ind_66_pop_0,0.999706,0.999996,0.996562,1.000000
q_ind_67_pop_0,0.999857,0.999998,0.998667,1.000000
q_ind_68_pop_0,0.977154,0.977324,0.967471,0.985908
q_ind_69_pop_0,0.000323,0.000000,0.000000,0.004460
q_ind_70_pop_0,0.000085,0.000000,0.000000,0.001027
q_ind_71_pop_0,0.000057,0.000000,0.000000,0.000675
q_ind_72_pop_0,0.001521,0.000000,0.000000,0.010138
q_ind_73_pop_0,0.000115,0.000000,0.000000,0.001425
q_ind_74_pop_0,0.021279,0.021191,0.011316,0.031608
q_ind_75_pop_0,0.000027,0.000000,0.000000,0.000324
q_ind_76_pop_0,0.000058,0.000000,0.000000,0.000675
q_ind_77_pop_0,0.000065,0.000000,0.000000,0.000795
q_ind_78_pop_0,0.000026,0.000000,0.000000,0.000301
q_ind_79_pop_0,0.000029,0.000000,0.000000,0.000319
q_ind_80_pop_0,0.000012,0.000000,0.000000,0.000140
q_ind_81_pop_0,0.000011,0.000000,0.000000,0.000128
q_ind_82_pop_0,0.000010,0.000000,0.000000,0.000107
q_ind_83_pop_0,0.000010,0.000000,0.000000,0.000115
q_ind_84_pop_0,0.000010,0.000000,0.000000,0.000112
q_ind_85_pop_0,0.000014,0.000000,0.000000,0.000153
q_ind_86_pop_0,0.000010,0.000000,0.000000,0.000116
q_ind_87_pop_0,0.000013,0.000000,0.000000,0.000148
q_ind_88_pop_0,0.000012,0.000000,0.000000,0.000127
q_ind_0_pop_1,0.978653,0.978724,0.967884,0.988920
q_ind_1_pop_1,0.862485,0.862637,0.847062,0.877403
q_ind_2_pop_1,0.933476,0.933552,0.919781,0.946801
q_ind_3_pop_1,0.974953,0.975087,0.963294,0.985844
q_ind_4_pop_1,0.977736,0.977779,0.967356,0.988011
q_ind_5_pop_1,0.968813,0.968954,0.957080,0.979865
q_ind_6_pop_1,0.965371,0.965363,0.953376,0.977234
q_ind_7_pop_1,0.963866,0.963937,0.951862,0.975578
q_ind_8_pop_1,0.967116,0.967313,0.955140,0.977845
q_ind_9_pop_1,0.975706,0.975777,0.963598,0.987542
q_ind_10_pop_1,0.988038,0.986845,0.973238,1.000000
q_ind_11_pop_1,0.889131,0.889240,0.873610,0.904190
q_ind_12_pop_1,0.967840,0.967927,0.955004,0.979933
q_ind_13_pop_1,0.935062,0.935155,0.921721,0.947704
q_ind_14_pop_1,0.905824,0.905786,0.891208,0.920596
q_ind_15_pop_1,0.000028,0.000000,0.000000,0.000320
q_ind_16_pop_1,0.000029,0.000000,0.000000,0.000350
q_ind_17_pop_1,0.000121,0.000000,0.000000,0.001382
q_ind_18_pop_1,0.000020,0.000000,0.000000,0.000223
q_ind_19_pop_1,0.000017,0.000000,0.000000,0.000184
q_ind_20_pop_1,0.000031,0.000000,0.000000,0.000378
q_ind_21_pop_1,0.039288,0.039292,0.028003,0.050592
q_ind_22_pop_1,0.000039,0.000000,0.000000,0.000449
q_ind_23_pop_1,0.000023,0.000000,0.000000,0.000287
q_ind_24_pop_1,0.000015,0.000000,0.000000,0.000170
q_ind_25_pop_1,0.000014,0.000000,0.000000,0.000157
q_ind_26_pop_1,0.000015,0.000000,0.000000,0.000178
q_ind_27_pop_1,0.000011,0.000000,0.000000,0.000131
q_ind_28_pop_1,0.000014,0.000000,0.000000,0.000158
q_ind_29_pop_1,0.007558,0.007416,0.000000,0.020556
q_ind_30_pop_1,0.008388,0.008620,0.000000,0.021299
q_ind_31_pop_1,0.000341,0.000000,0.000000,0.004347
q_ind_32_pop_1,0.009025,0.009559,0.000000,0.022242
q_ind_33_pop_1,0.000119,0.000000,0.000000,0.001547
q_ind_34_pop_1,0.000040,0.000000,0.000000,0.000444
q_ind_35_pop_1,0.002049,0.000000,0.000000,0.015373
q_ind_36_pop_1,0.000063,0.000000,0.000000,0.000753
q_ind_37_pop_1,0.001472,0.000000,0.000000,0.011277
q_ind_38_pop_1,0.009169,0.009902,0.000000,0.022210
q_ind_39_pop_1,0.000219,0.000000,0.000000,0.002876
q_ind_40_pop_1,0.000363,0.000000,0.000000,0.004653
q_ind_41_pop_1,0.001904,0.000000,0.000000,0.012884
q_ind_42_pop_1,0.000336,0.000000,0.000000,0.004324
q_ind_43_pop_1,0.000209,0.000000,0.000000,0.002690
q_ind_44_pop_1,0.000164,0.000000,0.000000,0.002261
q_ind_45_pop_1,0.000117,0.000000,0.000000,0.001491
q_ind_46_pop_1,0.000036,0.000000,0.000000,0.000403
q_ind_47_pop_1,0.000041,0.000000,0.000000,0.000486
q_ind_48_pop_1,0.000030,0.000000,0.000000,0.000346
q_ind_49_pop_1,0.000071,0.000000,0.000000,0.000878
q_ind_50_pop_1,0.000032,0.000000,0.000000,0.000373
q_ind_51_pop_1,0.000255,0.000000,0.000000,0.003726
q_ind_52_pop_1,0.000039,0.000000,0.000000,0.000412
q_ind_53_pop_1,0.000097,0.000000,0.000000,0.001150
q_ind_54_pop_1,0.000025,0.000000,0.000000,0.000294
q_ind_55_pop_1,0.000015,0.000000,0.000000,0.000161
q_ind_56_pop_1,0.000122,0.000000,0.000000,0.001678
q_ind_57_pop_1,0.000053,0.000000,0.000000,0.000604
q_ind_58_pop_1,0.025414,0.025359,0.015256,0.035927
q_ind_59_pop_1,0.036203,0.036122,0.025493,0.047319
q_ind_60_pop_1,0.000016,0.000000,0.000000,0.000171
q_ind_61_pop_1,0.000018,0.000000,0.000000,0.000207
q_ind_62_pop_1,0.000019,0.000000,0.000000,0.000227
q_ind_63_pop_1,0.000021,0.000000,0.000000,0.000244
q_ind_64_pop_1,0.000024,0.000000,0.000000,0.000275
q_ind_65_pop_1,0.000019,0.000000,0.000000,0.000219
q_ind_66_pop_1,0.000024,0.000000,0.000000,0.000280
q_ind_67_pop_1,0.000029,0.000000,0.000000,0.000334
q_ind_68_pop_1,0.000018,0.000000,0.000000,0.000204
q_ind_69_pop_1,0.024587,0.024490,0.013666,0.036099
q_ind_70_pop_1,0.013512,0.014106,0.000000,0.025549
q_ind_71_pop_1,0.021734,0.021666,0.011544,0.032559
q_ind_72_pop_1,0.003063,0.000001,0.000000,0.016563
q_ind_73_pop_1,0.026952,0.026747,0.015172,0.039572
q_ind_74_pop_1,0.032941,0.032750,0.021666,0.045053
q_ind_75_pop_1,0.000055,0.000000,0.000000,0.000541
q_ind_76_pop_1,0.001211,0.000000,0.000000,0.010490
q_ind_77_pop_1,0.001029,0.000000,0.000000,0.009410
q_ind_78_pop_1,0.014500,0.014518,0.000908,0.025616
q_ind_79_pop_1,0.000187,0.000000,0.000000,0.002409
q_ind_80_pop_1,0.000013,0.000000,0.000000,0.000149
q_ind_81_pop_1,0.000012,0.000000,0.000000,0.000131
q_ind_82_pop_1,0.000009,0.000000,0.000000,0.000103
q_ind_83_pop_1,0.000012,0.000000,0.000000,0.000128
q_ind_84_pop_1,0.000010,0.000000,0.000000,0.000109
q_ind_85_pop_1,0.000011,0.000000,0.000000,0.000128
q_ind_86_pop_1,0.000012,0.000000,0.000000,0.000136
q_ind_87_pop_1,0.000013,0.000000,0.000000,0.000139
q_ind_88_pop_1,0.000012,0.000000,0.000000,0.000124
q_ind_0_pop_2,0.000019,0.000000,0.000000,0.000223
q_ind_1_pop_2,0.000023,0.000000,0.000000,0.000266
q_ind_2_pop_2,0.000021,0.000000,0.000000,0.000259
q_ind_3_pop_2,0.000014,0.000000,0.000000,0.000155
q_ind_4_pop_2,0.000012,0.000000,0.000000,0.000136
q_ind_5_pop_2,0.000015,0.000000,0.000000,0.000171
q_ind_6_pop_2,0.000012,0.000000,0.000000,0.000142
q_ind_7_pop_2,0.000016,0.000000,0.000000,0.000184
q_ind_8_pop_2,0.000012,0.000000,0.000000,0.000138
q_ind_9_pop_2,0.000012,0.000000,0.000000,0.000133
q_ind_10_pop_2,0.000012,0.000000,0.000000,0.000128
q_ind_11_pop_2,0.000020,0.000000,0.000000,0.000232
q_ind_12_pop_2,0.000029,0.000000,0.000000,0.000337
q_ind_13_pop_2,0.000017,0.000000,0.000000,0.000207
q_ind_14_pop_2,0.000022,0.000000,0.000000,0.000272
q_ind_15_pop_2,0.999698,0.999995,0.996821,1.000000
q_ind_16_pop_2,0.999761,0.999996,0.997609,1.000000
q_ind_17_pop_2,0.963539,0.963602,0.952837,0.973686
q_ind_18_pop_2,0.989647,0.989387,0.981616,0.999998
q_ind_19_pop_2,0.999620,0.999994,0.996075,1.000000
q_ind_20_pop_2,0.985289,0.985338,0.977225,0.992996
q_ind_21_pop_2,0.952965,0.953029,0.941954,0.963335
q_ind_22_pop_2,0.934959,0.935010,0.921335,0.948371
q_ind_23_pop_2,0.992209,0.991915,0.984042,1.000000
q_ind_24_pop_2,0.999925,0.999999,0.999330,1.000000
q_ind_25_pop_2,0.999914,0.999998,0.999221,1.000000
q_ind_26_pop_2,0.999930,0.999999,0.999379,1.000000
q_ind_27_pop_2,0.999918,0.999998,0.999234,1.000000
q_ind_28_pop_2,0.999902,0.999998,0.999130,1.000000
q_ind_29_pop_2,0.000048,0.000000,0.000000,0.000585
q_ind_30_pop_2,0.000023,0.000000,0.000000,0.000249
q_ind_31_pop_2,0.039179,0.039049,0.029735,0.049051
q_ind_32_pop_2,0.000027,0.000000,0.000000,0.000311
q_ind_33_pop_2,0.000026,0.000000,0.000000,0.000293
q_ind_34_pop_2,0.000053,0.000000,0.000000,0.000623
q_ind_35_pop_2,0.000051,0.000000,0.000000,0.000632
q_ind_36_pop_2,0.000022,0.000000,0.000000,0.000237
q_ind_37_pop_2,0.000037,0.000000,0.000000,0.000432
q_ind_38_pop_2,0.000023,0.000000,0.000000,0.000264
q_ind_39_pop_2,0.000042,0.000000,0.000000,0.000463
q_ind_40_pop_2,0.000021,0.000000,0.000000,0.000230
q_ind_41_pop_2,0.000026,0.000000,0.000000,0.000314
q_ind_42_pop_2,0.000027,0.000000,0.000000,0.000314
q_ind_43_pop_2,0.000041,0.000000,0.000000,0.000481
q_ind_44_pop_2,0.000041,0.000000,0.000000,0.000500
q_ind_45_pop_2,0.016216,0.016152,0.008106,0.024790
q_ind_46_pop_2,0.019568,0.019472,0.011265,0.028473
q_ind_47_pop_2,0.034049,0.034004,0.024409,0.044243
q_ind_48_pop_2,0.028114,0.027982,0.018772,0.038155
q_ind_49_pop_2,0.089091,0.088975,0.076558,0.102178
q_ind_50_pop_2,0.269076,0.269074,0.252993,0.285260
q_ind_51_pop_2,0.054172,0.054124,0.042854,0.065615
q_ind_52_pop_2,0.039599,0.039503,0.028862,0.051207
q_ind_53_pop_2,0.025358,0.025143,0.015624,0.036030
q_ind_54_pop_2,0.000011,0.000000,0.000000,0.000129
q_ind_55_pop_2,0.000007,0.000000,0.000000,0.000082
q_ind_56_pop_2,0.000012,0.000000,0.000000,0.000141
q_ind_57_pop_2,0.000018,0.000000,0.000000,0.000200
q_ind_58_pop_2,0.000014,0.000000,0.000000,0.000160
q_ind_59_pop_2,0.000028,0.000000,0.000000,0.000319
q_ind_60_pop_2,0.000009,0.000000,0.000000,0.000093
q_ind_61_pop_2,0.000010,0.000000,0.000000,0.000112
q_ind_62_pop_2,0.000009,0.000000,0.000000,0.000104
q_ind_63_pop_2,0.000012,0.000000,0.000000,0.000138
q_ind_64_pop_2,0.000010,0.000000,0.000000,0.000097
q_ind_65_pop_2,0.000010,0.000000,0.000000,0.000118
q_ind_66_pop_2,0.000013,0.000000,0.000000,0.000150
q_ind_67_pop_2,0.000012,0.000000,0.000000,0.000130
q_ind_68_pop_2,0.000014,0.000000,0.000000,0.000147
q_ind_69_pop_2,0.000014,0.000000,0.000000,0.000163
q_ind_70_pop_2,0.000012,0.000000,0.000000,0.000129
q_ind_71_pop_2,0.000012,0.000000,0.000000,0.000134
q_ind_72_pop_2,0.000010,0.000000,0.000000,0.000117
q_ind_73_pop_2,0.000020,0.000000,0.000000,0.000208
q_ind_74_pop_2,0.000013,0.000000,0.000000,0.000170
q_ind_75_pop_2,0.000011,0.000000,0.000000,0.000121
q_ind_76_pop_2,0.000014,0.000000,0.000000,0.000161
q_ind_77_pop_2,0.000013,0.000000,0.000000,0.000145
q_ind_78_pop_2,0.000012,0.000000,0.000000,0.000132
q_ind_79_pop_2,0.000125,0.000000,0.000000,0.001659
q_ind_80_pop_2,0.000017,0.000000,0.000000,0.000167
q_ind_81_pop_2,0.000017,0.000000,0.000000,0.000199
q_ind_82_pop_2,0.000020,0.000000,0.000000,0.000244
q_ind_83_pop_2,0.000018,0.000000,0.000000,0.000215
q_ind_84_pop_2,0.000037,0.000000,0.000000,0.000475
q_ind_85_pop_2,0.000020,0.000000,0.000000,0.000235
q_ind_86_pop_2,0.000020,0.000000,0.000000,0.000247
q_ind_87_pop_2,0.000020,0.000000,0.000000,0.000241
q_ind_88_pop_2,0.000017,0.000000,0.000000,0.000197
q_ind_0_pop_3,0.021292,0.021237,0.011014,0.032068
q_ind_1_pop_3,0.062385,0.062310,0.048496,0.076450
q_ind_2_pop_3,0.066357,0.066277,0.053059,0.079938
q_ind_3_pop_3,0.025002,0.024874,0.014093,0.036693
q_ind_4_pop_3,0.022210,0.022169,0.011963,0.032614
q_ind_5_pop_3,0.031138,0.030985,0.020113,0.042866
q_ind_6_pop_3,0.034579,0.034578,0.022732,0.046596
q_ind_7_pop_3,0.036069,0.036004,0.024373,0.048020
q_ind_8_pop_3,0.032843,0.032652,0.022083,0.044810
q_ind_9_pop_3,0.024238,0.024174,0.012453,0.036274
q_ind_10_pop_3,0.011894,0.013100,0.000000,0.026719
q_ind_11_pop_3,0.048495,0.048334,0.034444,0.063446
q_ind_12_pop_3,0.031901,0.031819,0.019855,0.044827
q_ind_13_pop_3,0.064815,0.064713,0.052195,0.078157
q_ind_14_pop_3,0.083883,0.083823,0.069238,0.098867
q_ind_15_pop_3,0.000023,0.000000,0.000000,0.000277
q_ind_16_pop_3,0.000015,0.000000,0.000000,0.000187
q_ind_17_pop_3,0.001169,0.000000,0.000000,0.010058
q_ind_18_pop_3,0.000014,0.000000,0.000000,0.000165
q_ind_19_pop_3,0.000016,0.000000,0.000000,0.000180
q_ind_20_pop_3,0.000024,0.000000,0.000000,0.000268
q_ind_21_pop_3,0.006414,0.006155,0.000000,0.018235
q_ind_22_pop_3,0.000323,0.000000,0.000000,0.003811
q_ind_23_pop_3,0.000019,0.000000,0.000000,0.000211
q_ind_24_pop_3,0.000014,0.000000,0.000000,0.000159
q_ind_25_pop_3,0.000021,0.000000,0.000000,0.000228
q_ind_26_pop_3,0.000010,0.000000,0.000000,0.000109
q_ind_27_pop_3,0.000012,0.000000,0.000000,0.000132
q_ind_28_pop_3,0.000015,0.000000,0.000000,0.000175
q_ind_29_pop_3,0.084858,0.084905,0.070315,0.099146
q_ind_30_pop_3,0.037276,0.037126,0.024398,0.051001
q_ind_31_pop_3,0.074776,0.074561,0.060571,0.089561
q_ind_32_pop_3,0.024182,0.024066,0.011479,0.037230
q_ind_33_pop_3,0.001547,0.000000,0.000000,0.013015
q_ind_34_pop_3,0.016512,0.016364,0.006840,0.027058
q_ind_35_pop_3,0.046527,0.046574,0.033898,0.059117
q_ind_36_pop_3,0.030938,0.030778,0.020141,0.042706
q_ind_37_pop_3,0.044124,0.044035,0.031782,0.056721
q_ind_38_pop_3,0.039274,0.039276,0.026041,0.052451
q_ind_39_pop_3,0.041249,0.040965,0.028875,0.054452
q_ind_40_pop_3,0.024314,0.024267,0.011384,0.037004
q_ind_41_pop_3,0.059587,0.059642,0.046581,0.072493
q_ind_42_pop_3,0.034517,0.034534,0.023530,0.045719
q_ind_43_pop_3,0.045659,0.045449,0.034075,0.058196
q_ind_44_pop_3,0.039150,0.039045,0.027770,0.051162
q_ind_45_pop_3,0.082471,0.082490,0.068305,0.096971
q_ind_46_pop_3,0.000022,0.000000,0.000000,0.000246
q_ind_47_pop_3,0.000068,0.000000,0.000000,0.000854
q_ind_48_pop_3,0.000022,0.000000,0.000000,0.000270
q_ind_49_pop_3,0.000046,0.000000,0.000000,0.000521
q_ind_50_pop_3,0.000032,0.000000,0.000000,0.000365
q_ind_51_pop_3,0.037942,0.037828,0.027458,0.048789
q_ind_52_pop_3,0.000039,0.000000,0.000000,0.000469
q_ind_53_pop_3,0.000049,0.000000,0.000000,0.000605
q_ind_54_pop_3,0.000040,0.000000,0.000000,0.000449
q_ind_55_pop_3,0.000027,0.000000,0.000000,0.000308
q_ind_56_pop_3,0.001544,0.000000,0.000000,0.011092
q_ind_57_pop_3,0.000092,0.000000,0.000000,0.001188
q_ind_58_pop_3,0.027103,0.026967,0.015829,0.038953
q_ind_59_pop_3,0.000105,0.000000,0.000000,0.001232
q_ind_60_pop_3,0.000022,0.000000,0.000000,0.000252
q_ind_61_pop_3,0.000025,0.000000,0.000000,0.000269
q_ind_62_pop_3,0.000024,0.000000,0.000000,0.000258
q_ind_63_pop_3,0.000022,0.000000,0.000000,0.000244
q_ind_64_pop_3,0.000040,0.000000,0.000000,0.000401
q_ind_65_pop_3,0.000029,0.000000,0.000000,0.000304
q_ind_66_pop_3,0.000243,0.000000,0.000000,0.003358
q_ind_67_pop_3,0.000091,0.000000,0.000000,0.001069
q_ind_68_pop_3,0.022800,0.022641,0.014065,0.032470
