"","ID1","ID2","k0","k1","kinship"
"81","PM_HP_2.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"82","PM_HP_2.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"83","PM_HP_2.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"84","PM_HP_2.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"85","PM_HP_3.sorted.bam","PM_HP_4.sorted.bam",1,0,0
"86","PM_HP_3.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"87","PM_HP_3.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"88","PM_HP_3.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"89","PM_HP_3.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"90","PM_HP_3.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"91","PM_HP_4.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"92","PM_HP_4.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"93","PM_HP_4.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"94","PM_HP_4.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"95","PM_HP_4.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"96","PM_HP_5.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"97","PM_HP_5.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"98","PM_HP_5.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"99","PM_HP_5.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"100","PM_HP_6.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"101","PM_HP_6.sorted.bam","PM_HP_8.sorted.bam",0.894826859843158,0.105173140156843,0.0262932850392106
"102","PM_HP_6.sorted.bam","PM_HP_9.sorted.bam",0.848023884009326,0.151976115990674,0.0379940289976684
"103","PM_HP_7.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"104","PM_HP_7.sorted.bam","PM_HP_9.sorted.bam",0.981990904370015,0.000994102064019128,0.00875602229898777
"105","PM_HP_8.sorted.bam","PM_HP_9.sorted.bam",0.871948903583958,0.128051096416042,0.0320127741040106
