"","ID1","ID2","k0","k1","niter","kinship"
"76","PM_LB_15.sorted.bam","PM_LB_4.sorted.bam",1,0,157,0
"77","PM_LB_15.sorted.bam","PM_LB_5.sorted.bam",1,0,131,0
"78","PM_LB_15.sorted.bam","PM_LB_6.sorted.bam",1,0,134,0
"79","PM_LB_15.sorted.bam","PM_LB_7.sorted.bam",1,0,147,0
"80","PM_LB_15.sorted.bam","PM_LB_8.sorted.bam",1,0,216,0
"81","PM_LB_15.sorted.bam","PM_LB_9.sorted.bam",1,0,137,0
"82","PM_LB_16.sorted.bam","PM_LB_17.sorted.bam",1,0,147,0
"83","PM_LB_16.sorted.bam","PM_LB_1.sorted.bam",1,0,131,0
"84","PM_LB_16.sorted.bam","PM_LB_2.sorted.bam",0.848772598063027,0.127653449689775,505,0.0437003385460428
"85","PM_LB_16.sorted.bam","PM_LB_3.sorted.bam",1,0,145,0
"86","PM_LB_16.sorted.bam","PM_LB_4.sorted.bam",1,0,200,0
"87","PM_LB_16.sorted.bam","PM_LB_5.sorted.bam",1,0,149,0
"88","PM_LB_16.sorted.bam","PM_LB_6.sorted.bam",1,0,123,0
"89","PM_LB_16.sorted.bam","PM_LB_7.sorted.bam",1,0,173,0
"90","PM_LB_16.sorted.bam","PM_LB_8.sorted.bam",1,0,132,0
"91","PM_LB_16.sorted.bam","PM_LB_9.sorted.bam",1,0,129,0
"92","PM_LB_17.sorted.bam","PM_LB_1.sorted.bam",1,0,189,0
"93","PM_LB_17.sorted.bam","PM_LB_2.sorted.bam",1,0,131,0
"94","PM_LB_17.sorted.bam","PM_LB_3.sorted.bam",1,0,154,0
"95","PM_LB_17.sorted.bam","PM_LB_4.sorted.bam",0.751192393745098,0.226417014977159,373,0.0677995493831614
"96","PM_LB_17.sorted.bam","PM_LB_5.sorted.bam",1,0,204,0
"97","PM_LB_17.sorted.bam","PM_LB_6.sorted.bam",1,0,169,0
"98","PM_LB_17.sorted.bam","PM_LB_7.sorted.bam",1,0,169,0
"99","PM_LB_17.sorted.bam","PM_LB_8.sorted.bam",1,0,232,0
"100","PM_LB_17.sorted.bam","PM_LB_9.sorted.bam",1,0,262,0
"101","PM_LB_1.sorted.bam","PM_LB_2.sorted.bam",1,0,142,0
"102","PM_LB_1.sorted.bam","PM_LB_3.sorted.bam",1,0,215,0
"103","PM_LB_1.sorted.bam","PM_LB_4.sorted.bam",1,0,133,0
"104","PM_LB_1.sorted.bam","PM_LB_5.sorted.bam",1,0,293,0
"105","PM_LB_1.sorted.bam","PM_LB_6.sorted.bam",1,0,263,0
"106","PM_LB_1.sorted.bam","PM_LB_7.sorted.bam",1,0,146,0
"107","PM_LB_1.sorted.bam","PM_LB_8.sorted.bam",1,0,154,0
"108","PM_LB_1.sorted.bam","PM_LB_9.sorted.bam",1,0,150,0
"109","PM_LB_2.sorted.bam","PM_LB_3.sorted.bam",1,0,162,0
"110","PM_LB_2.sorted.bam","PM_LB_4.sorted.bam",1,0,132,0
"111","PM_LB_2.sorted.bam","PM_LB_5.sorted.bam",1,0,161,0
"112","PM_LB_2.sorted.bam","PM_LB_6.sorted.bam",1,0,175,0
"113","PM_LB_2.sorted.bam","PM_LB_7.sorted.bam",1,0,240,0
"114","PM_LB_2.sorted.bam","PM_LB_8.sorted.bam",1,0,127,0
"115","PM_LB_2.sorted.bam","PM_LB_9.sorted.bam",1,0,152,0
"116","PM_LB_3.sorted.bam","PM_LB_4.sorted.bam",1,0,153,0
"117","PM_LB_3.sorted.bam","PM_LB_5.sorted.bam",1,0,156,0
"118","PM_LB_3.sorted.bam","PM_LB_6.sorted.bam",1,0,221,0
"119","PM_LB_3.sorted.bam","PM_LB_7.sorted.bam",1,0,158,0
"120","PM_LB_3.sorted.bam","PM_LB_8.sorted.bam",1,0,186,0
"121","PM_LB_3.sorted.bam","PM_LB_9.sorted.bam",1,0,222,0
"122","PM_LB_4.sorted.bam","PM_LB_5.sorted.bam",1,0,117,0
"123","PM_LB_4.sorted.bam","PM_LB_6.sorted.bam",0.805363076186548,0.162598792387451,346,0.0566687638098631
"124","PM_LB_4.sorted.bam","PM_LB_7.sorted.bam",1,0,140,0
"125","PM_LB_4.sorted.bam","PM_LB_8.sorted.bam",1,0,136,0
"126","PM_LB_4.sorted.bam","PM_LB_9.sorted.bam",1,0,146,0
"127","PM_LB_5.sorted.bam","PM_LB_6.sorted.bam",1,0,137,0
"128","PM_LB_5.sorted.bam","PM_LB_7.sorted.bam",1,0,163,0
"129","PM_LB_5.sorted.bam","PM_LB_8.sorted.bam",1,0,177,0
"130","PM_LB_5.sorted.bam","PM_LB_9.sorted.bam",1,0,199,0
"131","PM_LB_6.sorted.bam","PM_LB_7.sorted.bam",1,0,151,0
"132","PM_LB_6.sorted.bam","PM_LB_8.sorted.bam",1,0,163,0
"133","PM_LB_6.sorted.bam","PM_LB_9.sorted.bam",1,0,161,0
"134","PM_LB_7.sorted.bam","PM_LB_8.sorted.bam",1,0,209,0
"135","PM_LB_7.sorted.bam","PM_LB_9.sorted.bam",1,0,176,0
"136","PM_LB_8.sorted.bam","PM_LB_9.sorted.bam",1,0,121,0
