"","ID1","ID2","k0","k1","niter","kinship"
"77","PM_HP_1.sorted.bam","PM_HP_9.sorted.bam",1,0,187,0
"78","PM_HP_2.sorted.bam","PM_HP_3.sorted.bam",1,0,146,0
"79","PM_HP_2.sorted.bam","PM_HP_4.sorted.bam",1,0,200,0
"80","PM_HP_2.sorted.bam","PM_HP_5.sorted.bam",1,0,209,0
"81","PM_HP_2.sorted.bam","PM_HP_6.sorted.bam",1,0,135,0
"82","PM_HP_2.sorted.bam","PM_HP_7.sorted.bam",1,0,167,0
"83","PM_HP_2.sorted.bam","PM_HP_8.sorted.bam",1,0,159,0
"84","PM_HP_2.sorted.bam","PM_HP_9.sorted.bam",1,0,161,0
"85","PM_HP_3.sorted.bam","PM_HP_4.sorted.bam",1,0,167,0
"86","PM_HP_3.sorted.bam","PM_HP_5.sorted.bam",1,0,194,0
"87","PM_HP_3.sorted.bam","PM_HP_6.sorted.bam",1,0,173,0
"88","PM_HP_3.sorted.bam","PM_HP_7.sorted.bam",1,0,162,0
"89","PM_HP_3.sorted.bam","PM_HP_8.sorted.bam",1,0,166,0
"90","PM_HP_3.sorted.bam","PM_HP_9.sorted.bam",1,0,152,0
"91","PM_HP_4.sorted.bam","PM_HP_5.sorted.bam",1,0,183,0
"92","PM_HP_4.sorted.bam","PM_HP_6.sorted.bam",1,0,145,0
"93","PM_HP_4.sorted.bam","PM_HP_7.sorted.bam",1,0,155,0
"94","PM_HP_4.sorted.bam","PM_HP_8.sorted.bam",1,0,174,0
"95","PM_HP_4.sorted.bam","PM_HP_9.sorted.bam",1,0,154,0
"96","PM_HP_5.sorted.bam","PM_HP_6.sorted.bam",1,0,140,0
"97","PM_HP_5.sorted.bam","PM_HP_7.sorted.bam",1,0,195,0
"98","PM_HP_5.sorted.bam","PM_HP_8.sorted.bam",1,0,172,0
"99","PM_HP_5.sorted.bam","PM_HP_9.sorted.bam",1,0,164,0
"100","PM_HP_6.sorted.bam","PM_HP_7.sorted.bam",1,0,133,0
"101","PM_HP_6.sorted.bam","PM_HP_8.sorted.bam",1,0,231,0
"102","PM_HP_6.sorted.bam","PM_HP_9.sorted.bam",1,0,199,0
"103","PM_HP_7.sorted.bam","PM_HP_8.sorted.bam",1,0,151,0
"104","PM_HP_7.sorted.bam","PM_HP_9.sorted.bam",1,0,241,0
"105","PM_HP_8.sorted.bam","PM_HP_9.sorted.bam",1,0,222,0
